"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"F"	2020-03-01	93	69707	0.0013341558236619	"0.00108928147673989-0.00163398874705789"	332	2288371	0.000145081370110004	"0.000130293102808715-0.000161547834576766"
"F"	2020-04-01	1515	69426	0.0218217958689828	"0.0207611818438339-0.0229353237951727"	1766	2288643	0.000771636292772617	"0.000736489764183166-0.000808458715752205"
"F"	2020-05-01	553	66262	0.00834565814493978	"0.00768092365137541-0.00906739545825784"	609	2288923	0.000266063996036564	"0.000245757611050485-0.000288047767387023"
"F"	2020-06-01	131	65813	0.00199048820141917	"0.00167780908221615-0.00236130086180968"	219	2291935	9.55524480406294e-05	"8.37080656987384e-05-0.000109072583953964"
"F"	2020-07-01	40	66690	0.000599790073474284	"0.000440529104198264-0.000816580352789021"	61	2294950	2.6580099784309e-05	"2.06945744516068e-05-3.41394080657502e-05"
"F"	2020-08-01	25	67675	0.00036941263391208	"0.000250244113467757-0.000545299333496448"	22	2297670	9.57491719872741e-06	"6.32344667499128e-06-1.44982460985657e-05"
"F"	2020-09-01	31	68082	0.000455333274580653	"0.00032081287255713-0.00064622311333894"	53	2300401	2.30394613808636e-05	"1.76157879842568e-05-3.01329633838012e-05"
"F"	2020-10-01	146	68533	0.00213036055622839	"0.0018119567068749-0.00250457513970058"	400	2302616	0.000173715461023462	"0.000157506599753301-0.000191592041866768"
"M"	2020-03-01	88	29932	0.00293999732727516	"0.00238715470112248-0.0036204084758833"	649	1995577	0.000325219222310139	"0.000301145852555052-0.000351216322794865"
"M"	2020-04-01	1311	29443	0.0445267126311857	"0.0422295280259695-0.0469427338783419"	2448	1995665	0.00122665878291196	"0.00117904708523407-0.00127619065613336"
"M"	2020-05-01	436	27212	0.0160223430839336	"0.0145973532030315-0.0175839578229714"	620	1995212	0.000310743920946747	"0.000287230986582535-0.00033618099370289"
"M"	2020-06-01	98	26930	0.00363906424062384	"0.00298726054361077-0.00443245562002051"	244	1998419	0.000122096517296923	"0.000107708330319727-0.000138406480128324"
"M"	2020-07-01	40	27446	0.00145740727246229	"0.00107052835635436-0.00198382293913381"	78	2001891	3.89631603319062e-05	"3.12228659278386e-05-4.86222165961837e-05"
"M"	2020-08-01	10	28057	0.000356417293367074	"0.000193616475410476-0.000656018018112516"	35	2005166	1.74549139572484e-05	"1.25513162271441e-05-2.4274222085846e-05"
"M"	2020-09-01	19	28257	0.000672399759351665	"0.000430524915119134-0.00105002048483514"	82	2008429	4.08279306861233e-05	"3.28959129321177e-05-5.06724570706267e-05"
"M"	2020-10-01	111	28394	0.00390927660773403	"0.00324751156866764-0.00470525692425404"	600	2010687	0.000298405470369083	"0.000275467691304438-0.000323252626110083"
