"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"60-69"	2019-02-01	49	3131	0.0156499520919834	"0.0118583082472707-0.0206286484803611"	654	1172142	0.000557952876016728	"0.000516808493785168-0.00060237088852447"
"60-69"	2019-03-01	46	3158	0.0145661811272958	"0.0109384751946803-0.0193734364140824"	671	1171836	0.000572605722985128	"0.000530899069725496-0.000617586765288664"
"60-69"	2019-04-01	42	3165	0.0132701421800948	"0.00983258855757247-0.0178877817929798"	751	1171161	0.000641244030496234	"0.000597005638781559-0.000688758248174776"
"60-69"	2019-05-01	44	3169	0.0138845061533607	"0.0103592553218572-0.0185868675817531"	714	1171794	0.000609322116344682	"0.000566249296990144-0.000655669201373135"
"60-69"	2019-06-01	53	3195	0.0165884194053208	"0.0127049287756398-0.021632958936116"	676	1171499	0.000577038478052478	"0.000535158902846995-0.000622193355157198"
"60-69"	2019-07-01	42	3202	0.0131168019987508	"0.00971880408933666-0.0176816335021741"	751	1171035	0.000641313026510736	"0.000597069876243355-0.00068883235475762"
"60-69"	2019-08-01	45	3226	0.013949163050217	"0.0104414984431762-0.0186130108933156"	716	1170480	0.000611714852026519	"0.000568531163012933-0.000658176466740544"
"60-69"	2019-09-01	52	3247	0.0160147828765014	"0.0122337244294905-0.0209396739618958"	726	1169991	0.00062051759372508	"0.000577004390184766-0.000667310035172412"
"60-69"	2019-10-01	45	3256	0.0138206388206388	"0.0103451481351599-0.0184419754124506"	761	1169770	0.000650555237354352	"0.000605960026971188-0.000698430107892678"
"60-69"	2019-11-01	59	3273	0.0180262755881454	"0.0140010224549582-0.0231815694866561"	700	1169564	0.000598513634140586	"0.000555799231021-0.000644508616935609"
"60-69"	2019-12-01	64	3269	0.019577852554298	"0.0153618512420381-0.0249216334545291"	842	1170029	0.00071964028242035	"0.000672661480014466-0.00076989756535067"
"60-69"	2020-01-01	51	3234	0.0157699443413729	"0.0120149127987193-0.0206739819994974"	832	1170506	0.000710803703697375	"0.000664132980551121-0.000760751629339935"
"60-69"	2020-02-01	46	3276	0.014041514041514	"0.0105438781034916-0.0186774912901239"	718	1169695	0.000613835230551554	"0.000570560085074737-0.00066039048765983"
"60-69"	2020-03-01	58	3285	0.0176560121765601	"0.0136833246444471-0.0227554822488674"	811	1169422	0.000693504996485443	"0.000647404080989845-0.000742886265931606"
"60-69"	2020-04-01	65	3299	0.0197029402849348	"0.0154890810142046-0.0250340444489483"	759	1169083	0.00064922678714856	"0.000604666099178643-0.000697069071257195"
"60-69"	2020-05-01	35	3236	0.0108158220024722	"0.00778724770984377-0.0150044412537182"	593	1168706	0.000507398781216148	"0.000468179471111947-0.000549901678384918"
"60-69"	2020-06-01	32	3268	0.00979192166462668	"0.00694470409002325-0.0137902427815"	646	1168841	0.000552684240200335	"0.000511686382623869-0.000596965007926284"
"60-69"	2020-07-01	33	3291	0.0100273473108478	"0.00714896884070164-0.014048244953522"	671	1169684	0.000573659210521816	"0.000531875844458893-0.000618722982953194"
"60-69"	2020-08-01	40	3358	0.0119118522930316	"0.00876010254262263-0.0161790446026758"	622	1169947	0.000531648014824603	"0.000491486148420765-0.000575089826057574"
"60-69"	2020-09-01	41	3368	0.0121733966745843	"0.00898631811282159-0.0164720137420567"	669	1169652	0.000571964994716377	"0.000530245126480341-0.000616965370196288"
"60-69"	2020-10-01	30	3411	0.00879507475813544	"0.0061676831118411-0.0125276090680605"	612	1169777	0.000523176639650121	"0.000483345704656886-0.000566288051773478"
"70-79"	2019-02-01	309	16201	0.0190728967347695	"0.0170778488501887-0.0212959581630364"	2210	1941765	0.00113813978519543	"0.00109169224891818-0.00118656114786468"
"70-79"	2019-03-01	280	16243	0.0172381949147325	"0.0153476895097728-0.0193569920278546"	2216	1946982	0.00113817179614398	"0.00109178457125991-0.00118652755837378"
"70-79"	2019-04-01	333	16384	0.02032470703125	"0.0182737920695833-0.0226005024800601"	2439	1951833	0.00124959461183411	"0.00120100557144059-0.00130014685847868"
"70-79"	2019-05-01	265	16421	0.01613787223677	"0.0143206915763314-0.0181813852418289"	2358	1957161	0.00120480634960537	"0.00115717607188784-0.00125439466494527"
"70-79"	2019-06-01	293	16630	0.0176187612748046	"0.0157277550677032-0.0197325720179508"	2161	1962558	0.00110111395433918	"0.00105568070753008-0.00114850026014083"
"70-79"	2019-07-01	305	16860	0.0180901542111507	"0.016185405333555-0.0202144541124446"	2325	1967667	0.00118160237479208	"0.00113456527608282-0.00123058714716007"
"70-79"	2019-08-01	300	17010	0.017636684303351	"0.015764756789004-0.0197264319752852"	2300	1972214	0.00116620204501134	"0.0011195311716262-0.00121481616163557"
"70-79"	2019-09-01	321	17149	0.0187182926118141	"0.0167950194079647-0.0208571363804033"	2320	1977367	0.00117327739362496	"0.00112652223075492-0.00122197070817942"
"70-79"	2019-10-01	365	17219	0.021197514373657	"0.0191504351378244-0.0234581820624958"	2503	1982034	0.00126284412880909	"0.00121435969175118-0.00131326180670283"
"70-79"	2019-11-01	371	17269	0.0214835832995541	"0.0194251488150084-0.0237548607160706"	2381	1985882	0.00119896348322811	"0.00115178895409472-0.00124806775434514"
"70-79"	2019-12-01	445	17266	0.0257731958762887	"0.023513032812236-0.0282443305053153"	2958	1990424	0.0014861155211151	"0.00143355365783668-0.00154060161446997"
"70-79"	2020-01-01	423	17333	0.0244043154676051	"0.0222104374469325-0.0268089563589853"	2842	1994029	0.00142525509909836	"0.00137384450590472-0.00147858667805687"
"70-79"	2020-02-01	354	17518	0.0202077862769723	"0.018226864247718-0.0223990859695375"	2295	1996339	0.00114960435076407	"0.00110354828352739-0.00119758024180334"
"70-79"	2020-03-01	426	17654	0.0241305086665911	"0.0219682828178382-0.0264997850836987"	2777	2001779	0.0013872660268691	"0.00133665338774789-0.0014397923603685"
"70-79"	2020-04-01	541	17560	0.0308086560364465	"0.0283536941050686-0.0334688554417662"	2370	2004159	0.00118254090618559	"0.00113590649511073-0.0012310875238821"
"70-79"	2020-05-01	253	16808	0.0150523560209424	"0.0133192756748353-0.0170070547315935"	1946	2006433	0.000969880379758507	"0.00092775433324853-0.00101391727999206"
"70-79"	2020-06-01	230	16736	0.0137428298279159	"0.0120872672142974-0.0156215650325148"	2099	2011280	0.00104361401694443	"0.000999934250836388-0.00108919975014729"
"70-79"	2020-07-01	256	17121	0.0149523976403247	"0.0132402643731003-0.0168821434787396"	2186	2015138	0.00108478923031574	"0.0010402805294581-0.00113120009229947"
"70-79"	2020-08-01	266	17432	0.0152592932537861	"0.0135434481196588-0.0171887342121331"	2156	2019340	0.00106767557716878	"0.00102357136672681-0.00111367805569093"
"70-79"	2020-09-01	287	17573	0.0163318727593467	"0.0145608143563773-0.0183143447087181"	2265	2022966	0.00111964313784809	"0.00107449676072872-0.00116668418320034"
"70-79"	2020-10-01	318	17697	0.0179691473131039	"0.0161140245230238-0.0200334919839865"	2144	2026789	0.0010578308842213	"0.00101401360463989-0.00110353949256346"
"80+"	2019-02-01	1937	73989	0.0261795672329671	"0.0250534371082728-0.0273548956759038"	4692	1089169	0.00430787141389445	"0.0041866105336046-0.00443262885749771"
"80+"	2019-03-01	1753	74334	0.023582748136788	"0.0225162570985953-0.0246984775499076"	4460	1091465	0.00408625104790351	"0.00396830529646809-0.00420768756732579"
"80+"	2019-04-01	1999	74795	0.0267263854535731	"0.0255946211374607-0.0279067617820039"	4979	1094237	0.00455020256123673	"0.00442582943809823-0.00467805435181749"
"80+"	2019-05-01	1990	75122	0.0264902425388035	"0.0253658700531118-0.02766303959317"	4872	1097680	0.00443845200787115	"0.0043158203226096-0.00456455223153661"
"80+"	2019-06-01	1852	76176	0.0243121193026675	"0.0232421516964681-0.0254300611595403"	4156	1100444	0.00377665742191334	"0.0036637736799117-0.00389300561077845"
"80+"	2019-07-01	1919	76826	0.0249785228958946	"0.0238985150144886-0.0261060325138288"	4560	1103515	0.00413225012800007	"0.00401427536660025-0.00425367721929238"
"80+"	2019-08-01	1926	77587	0.0248237462461495	"0.0237522612057925-0.0259422824584501"	4446	1105713	0.00402093490806385	"0.00390469087761655-0.00414062517914535"
"80+"	2019-09-01	1939	78233	0.0247849373026728	"0.0237186227528244-0.0258979183349682"	4475	1108421	0.00403727464564457	"0.00392093243689329-0.00415705456223996"
