"Age"	"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"60-69"	"F"	2020-07-01	12	1547	0.00775694893341952	"0.00444284227335879-0.0135096432385165"	293	596826	0.000490930354910812	"0.000437854841701325-0.000550435987354667"
"60-69"	"F"	2020-08-01	12	1581	0.00759013282732448	"0.00434718381014043-0.0132201625422268"	257	596924	0.000430540571329013	"0.000381031342087415-0.000486479641409603"
"60-69"	"F"	2020-09-01	19	1603	0.0118527760449158	"0.00760108065956653-0.0184384882045595"	252	596618	0.000422380819888103	"0.000373359772360824-0.000477835111116712"
"60-69"	"F"	2020-10-01	19	1630	0.0116564417177914	"0.00747496558346301-0.0181342871349098"	303	596496	0.000507966524503098	"0.000453912056880123-0.000568454449252125"
"60-69"	"M"	2019-02-01	33	1663	0.0198436560432953	"0.0141642705230513-0.0277362104441714"	416	573635	0.000725199822186582	"0.000658800430084459-0.000798286151945213"
"60-69"	"M"	2019-03-01	24	1678	0.0143027413587604	"0.00963006721909333-0.0211941573526123"	400	573518	0.000697449774898085	"0.000632387557833764-0.000769200665512758"
"60-69"	"M"	2019-04-01	26	1686	0.0154211150652432	"0.0105453044905161-0.0225000788673196"	458	573124	0.000799128984303571	"0.000729241244618309-0.000875708632671476"
"60-69"	"M"	2019-05-01	29	1686	0.0172004744958482	"0.0120025104340627-0.0245935018710514"	435	573353	0.000758694905232902	"0.000690691737560503-0.000833387850636849"
"60-69"	"M"	2019-06-01	38	1692	0.0224586288416076	"0.0164058447783787-0.0306748881553572"	396	573364	0.000690660732100376	"0.000625923014959681-0.00076208901026279"
"60-69"	"M"	2019-07-01	24	1689	0.0142095914742451	"0.00956723068328692-0.0210566996030195"	472	573359	0.000823218960546534	"0.000752252494143179-0.000900874270069651"
"60-69"	"M"	2019-08-01	22	1709	0.0128730251609128	"0.0085164187456467-0.0194146303157378"	433	573036	0.000755624428482678	"0.000687747489226167-0.000830194887356739"
"60-69"	"M"	2019-09-01	32	1717	0.0186371578334304	"0.0132322606355518-0.0261911612450358"	418	572866	0.000729664528877608	"0.000663008841843083-0.000803016069997322"
"60-69"	"M"	2019-10-01	22	1719	0.0127981384525887	"0.00846678955831376-0.0193021375102525"	465	572793	0.000811811596859598	"0.000741327171652885-0.000888991627665826"
"60-69"	"M"	2019-11-01	33	1739	0.0189764232317424	"0.0135438221097209-0.026529506687468"	412	572727	0.000719365421920042	"0.000653196464933271-0.000792231996212759"
"60-69"	"M"	2019-12-01	38	1730	0.0219653179190751	"0.0160445674270479-0.0300043134637112"	506	573153	0.000882835822197563	"0.000809220137494635-0.000963141954939149"
"60-69"	"M"	2020-01-01	31	1718	0.0180442374854482	"0.012740870899654-0.0254981077725111"	512	573237	0.000893173329704817	"0.000819114744010052-0.000973921244502169"
"60-69"	"M"	2020-02-01	24	1751	0.0137064534551685	"0.00922785361208516-0.0203141078911113"	436	572884	0.000761061576165506	"0.000692920957117331-0.000835897417855372"
"60-69"	"M"	2020-03-01	36	1757	0.0204894706886739	"0.0148364412147739-0.0282347043677979"	555	572794	0.000968934730461562	"0.000891639992841461-0.00105292295450472"
"60-69"	"M"	2020-04-01	80	1765	0.0453257790368272	"0.0365690326274206-0.0560573912974964"	686	572563	0.00119812142943222	"0.00111180198917734-0.00129113398125931"
"60-69"	"M"	2020-05-01	28	1722	0.016260162601626	"0.0112736036006222-0.0234001832149901"	388	572216	0.000678065625567967	"0.000613888607482592-0.000748946796533742"
"60-69"	"M"	2020-06-01	20	1730	0.0115606936416185	"0.00749616118989324-0.0177895756331919"	418	572395	0.000730264939421204	"0.000663554421537108-0.000803676813033994"
"60-69"	"M"	2020-07-01	23	1744	0.0131880733944954	"0.00880386379686305-0.0197121429434298"	398	572858	0.000694762052725108	"0.000629795819759004-0.000766424701377224"
"60-69"	"M"	2020-08-01	29	1777	0.0163196398424311	"0.0113865996944713-0.0233393769018096"	369	573023	0.000643953209557033	"0.000581533312532977-0.000713068275295095"
"60-69"	"M"	2020-09-01	22	1765	0.0124645892351275	"0.00824575095526875-0.0188010251037855"	431	573034	0.000752136871459634	"0.000684423909681437-0.000826543422975799"
"60-69"	"M"	2020-10-01	19	1781	0.0106681639528355	"0.00684025339939194-0.016602421922785"	389	573281	0.000678550309534068	"0.000614405937013826-0.00074938637403205"
"70-79"	"F"	2019-02-01	137	9086	0.0150781421967863	"0.0127694935393991-0.0177966566051757"	974	1016364	0.000958318082891562	"0.00090002003432329-0.00102038848236016"
"70-79"	"F"	2019-03-01	133	9116	0.0145897323387451	"0.0123248587389239-0.0172635348794437"	953	1019064	0.000935171883218326	"0.000877677659551793-0.000996428637519371"
"70-79"	"F"	2019-04-01	166	9217	0.0180101985461647	"0.0154891707734355-0.0209328261040216"	1015	1021512	0.000993625136072802	"0.00093437571200695-0.00105662763446703"
"70-79"	"F"	2019-05-01	148	9230	0.0160346695557963	"0.0136661232389156-0.0188058939770903"	1039	1024242	0.00101440870419295	"0.000954601904870831-0.0010779584185917"
"70-79"	"F"	2019-06-01	125	9333	0.013393335476267	"0.0112533046972755-0.0159337756382147"	881	1027060	0.000857788249956186	"0.00080300657664736-0.000916303740335982"
"70-79"	"F"	2019-07-01	154	9444	0.0163066497246929	"0.0139419143088414-0.0190647211411589"	986	1029804	0.000957463750383568	"0.000899562098631041-0.0010190885265397"
"70-79"	"F"	2019-08-01	131	9517	0.0137648418619313	"0.0116124396632541-0.016309615332673"	988	1032063	0.000957305900899461	"0.000899470591210218-0.00101885618694903"
"70-79"	"F"	2019-09-01	154	9601	0.0160399958337673	"0.0137136815331327-0.0187534299915778"	974	1034642	0.000941388422275531	"0.000884119826445908-0.00100236285256303"
"70-79"	"F"	2019-10-01	189	9631	0.0196241304122106	"0.0170394423655389-0.0225918749169181"	1064	1037051	0.00102598618582886	"0.000966190545838261-0.00108947842516991"
"70-79"	"F"	2019-11-01	187	9693	0.0192922727741669	"0.0167383385311068-0.0222270772102212"	978	1039151	0.000941152921952633	"0.000884012184520509-0.00100198341558598"
"70-79"	"F"	2019-12-01	218	9668	0.022548613984278	"0.0197734764552168-0.0257030194833679"	1282	1041573	0.00123083067629441	"0.00116531111407944-0.00130002927811304"
"70-79"	"F"	2020-01-01	200	9732	0.020550760378134	"0.0179154298038316-0.023564442329338"	1236	1043317	0.0011846830828981	"0.00112048823816752-0.00125255115722964"
"70-79"	"F"	2020-02-01	166	9862	0.0168322855404583	"0.0144750175429323-0.0195658151850689"	952	1044497	0.000911443498640973	"0.000855378997623382-0.00097117908935343"
"70-79"	"F"	2020-03-01	226	9927	0.0227661932104362	"0.020011404014293-0.0258901905999086"	1314	1047327	0.00125462248180368	"0.001188633317433-0.00132427029872979"
"70-79"	"F"	2020-04-01	477	9903	0.0481672220539231	"0.0441224358071051-0.0525624120126676"	1435	1048724	0.00136832951281748	"0.00129938432514933-0.00144092764637521"
"70-79"	"F"	2020-05-01	198	9571	0.0206874934698569	"0.0180223193819906-0.0237372711595682"	933	1050131	0.000888460582536845	"0.000833273293042464-0.000947299434382861"
"70-79"	"F"	2020-06-01	131	9545	0.01372446306967	"0.0115783410057017-0.0162618383466452"	984	1052649	0.00093478452931604	"0.000878198166371555-0.000995013381785209"
"70-79"	"F"	2020-07-01	126	9727	0.0129536342140434	"0.0108910331278243-0.0154007793432115"	976	1054667	0.000925410579832307	"0.000869169477296367-0.000985287270664328"
"70-79"	"F"	2020-08-01	134	9896	0.0135408245755861	"0.0114451255156447-0.0160140474369166"	913	1056725	0.00086399015827202	"0.000809756558787468-0.000921852712229103"
"70-79"	"F"	2020-09-01	142	9975	0.0142355889724311	"0.0120908313108948-0.0167543467599784"	980	1058558	0.000925787722543309	"0.000869635059099454-0.000985562608062149"
"70-79"	"F"	2020-10-01	165	10030	0.0164506480558325	"0.0141400189526271-0.0191315311501719"	1015	1060749	0.000956871041122829	"0.000899812290720935-0.00101754430671567"
"70-79"	"M"	2019-02-01	172	7115	0.0241742796907941	"0.0208539689236007-0.0280081192171172"	1236	925401	0.00133563719944111	"0.00126326757890014-0.00141214684287633"
"70-79"	"M"	2019-03-01	147	7127	0.0206257892521397	"0.0175751302750171-0.024192936024125"	1263	927918	0.00136111164995183	"0.00128813333914129-0.00143821854287007"
"70-79"	"M"	2019-04-01	167	7167	0.0233012418027068	"0.0200556183650248-0.0270576054819649"	1424	930321	0.00153065447302598	"0.00145324652980105-0.00161217893422159"
"70-79"	"M"	2019-05-01	117	7191	0.016270337922403	"0.013593921447317-0.0194632988099976"	1319	932919	0.00141384193054274	"0.00133962106478525-0.00149216881259584"
"70-79"	"M"	2019-06-01	168	7297	0.0230231602028231	"0.0198247671893662-0.0267234917664705"	1280	935498	0.00136825519669737	"0.00129536954648613-0.00144523591808745"
"70-79"	"M"	2019-07-01	151	7416	0.020361380798274	"0.0173865561890947-0.0238328499825979"	1339	937863	0.00142771385586168	"0.00135331207995765-0.00150619988940591"
"70-79"	"M"	2019-08-01	169	7493	0.022554384091819	"0.019429122909112-0.0261689413821487"	1312	940151	0.0013955205068122	"0.00132207091503352-0.0014730446796946"
"70-79"	"M"	2019-09-01	167	7548	0.0221250662427133	"0.0190417975805845-0.0256945042423423"	1346	942725	0.00142777586252619	"0.00135355942203017-0.00150605549613551"
"70-79"	"M"	2019-10-01	176	7588	0.0231945176594623	"0.0200413181284059-0.02683024271106"	1439	944983	0.00152277871665416	"0.0014461608361069-0.00160344930912207"
"70-79"	"M"	2019-11-01	184	7576	0.0242872228088701	"0.0210544213207869-0.0280022061615704"	1403	946731	0.00148194154411338	"0.00140645118324652-0.00156147746559355"
"70-79"	"M"	2019-12-01	227	7598	0.0298762832324296	"0.0262794232267979-0.0339482809815613"	1676	948851	0.00176634687637996	"0.00168385049594525-0.00185287747570238"
"70-79"	"M"	2020-01-01	223	7601	0.0293382449677674	"0.0257757992779201-0.0333761845282555"	1606	950712	0.00168926025967906	"0.00160870168835182-0.00177384577597376"
"70-79"	"M"	2020-02-01	188	7656	0.0245559038662487	"0.0213202394617665-0.0282684446986984"	1343	951842	0.0014109484557311	"0.00133752645500276-0.00148839486719179"
"70-79"	"M"	2020-03-01	232	7727	0.0300245891031448	"0.0264468439987627-0.0340693962207154"	1812	954452	0.0018984715836941	"0.00181312409681644-0.00198782855205183"
"70-79"	"M"	2020-04-01	564	7657	0.0736580906360193	"0.068018645586335-0.0797251061809714"	2166	955435	0.00226703020090325	"0.00217364684118419-0.00236441595329094"
"70-79"	"M"	2020-05-01	210	7237	0.0290175487080282	"0.0253931043001573-0.0331417305296229"	1310	956302	0.00136986014878145	"0.00129770673851756-0.00144601953091325"
"70-79"	"M"	2020-06-01	125	7191	0.017382839660687	"0.0146096620724217-0.0206713736909851"	1225	958631	0.00127786395390927	"0.00120832133588165-0.00135140354860775"
"70-79"	"M"	2020-07-01	150	7394	0.02028671896132	"0.0173136174002238-0.0237580195782104"	1255	960471	0.00130665059122035	"0.00123637375367215-0.00138091651808816"
"70-79"	"M"	2020-08-01	137	7536	0.0181794055201699	"0.0153993180720362-0.0214504566000364"	1261	962615	0.00130997335383305	"0.00123968110949537-0.00138424577624152"
"70-79"	"M"	2020-09-01	152	7598	0.0200052645433009	"0.0170909389071091-0.0234047042193987"	1324	964408	0.00137286293767783	"0.00130092449075394-0.00144877366186246"
"70-79"	"M"	2020-10-01	196	7667	0.0255641059084388	"0.0222617327310596-0.0293416618829063"	1459	966040	0.00151028942900915	"0.00143480875714414-0.00158973457456266"
"80+"	"F"	2019-02-01	1248	54795	0.0227758007117438	"0.0215597092500316-0.0240588000518344"	2528	634350	0.00398518168203673	"0.00383311791043327-0.0041432528910497"
"80+"	"F"	2019-03-01	1173	55039	0.0213121604680318	"0.0201385886638047-0.0225525478498995"	2362	635332	0.00371774127542765	"0.00357106172495238-0.0038704222120547"
"80+"	"F"	2019-04-01	1296	55347	0.0234159033009919	"0.0221887605604385-0.0247091978157123"	2610	636639	0.00409965459231998	"0.00394566092298257-0.00425963271834801"
"80+"	"F"	2019-05-01	1306	55582	0.0234968155158145	"0.0222700788765187-0.024789413076276"	2583	638290	0.00404674990991556	"0.00389396244109679-0.00420550699292598"
"80+"	"F"	2019-06-01	1176	56318	0.0208814233459995	"0.0197327654573669-0.0220954382696571"	2196	639519	0.00343383073841434	"0.00329341105193761-0.00358021593031888"
"80+"	"F"	2019-07-01	1257	56787	0.022135347878916	"0.0209572229948241-0.0233781204187154"	2389	640943	0.00372732052616223	"0.00358108044886039-0.00387950933723955"
"80+"	"F"	2019-08-01	1238	57338	0.0215912658272001	"0.0204332550134613-0.02281337599335"	2321	641896	0.00361585054276705	"0.00347195492818887-0.00376568739348903"
"80+"	"F"	2019-09-01	1239	57807	0.0214333904198453	"0.0202842131914861-0.0226461679652826"	2333	643143	0.00362749808362992	"0.0034835039766019-0.00377742176817562"
"80+"	"F"	2019-10-01	1566	58071	0.0269669886862634	"0.0256804569059965-0.0283160996071063"	2654	643832	0.00412219336721381	"0.00396861924573083-0.00428168481746792"
"80+"	"F"	2019-11-01	1487	57982	0.0256458901038253	"0.0243902993314383-0.0269643311077085"	2472	643478	0.00384162317903642	"0.00369340843460266-0.0039957618574503"
"80+"	"F"	2019-12-01	1877	57932	0.0324000552371746	"0.0309889588325372-0.0338731604393762"	3257	644003	0.00505742985669321	"0.00488710957756094-0.00523365473614776"
"80+"	"F"	2020-01-01	1572	57653	0.027266577628224	"0.0259683645893224-0.028627783572365"	3037	643875	0.00471675402834401	"0.00455232698336539-0.00488709091247706"
"80+"	"F"	2020-02-01	1434	58023	0.0247143374179205	"0.0234822046252552-0.026009399374227"	2533	643330	0.00393732610013523	"0.00378723044965334-0.00409334590449018"
"80+"	"F"	2020-03-01	1683	58252	0.0288917118725537	"0.0275622349770039-0.0302833196392268"	3140	644416	0.00487262886086007	"0.00470554076989891-0.00504561997120351"
"80+"	"F"	2020-04-01	3465	57989	0.0597527117211885	"0.0578525266977016-0.0617112209028405"	3941	643399	0.00612528151271606	"0.00593755800287681-0.00631890241458221"
"80+"	"F"	2020-05-01	1596	55177	0.0289250956014281	"0.0275591495347565-0.0303566301875522"	2409	642302	0.00375057216075927	"0.00360402138670735-0.00390305880404603"
"80+"	"F"	2020-06-01	1062	54730	0.0194043486205006	"0.018281967839825-0.0205941899833306"	2236	642840	0.00347831497728828	"0.00333733080171711-0.0036252333081973"
"80+"	"F"	2020-07-01	1119	55416	0.020192724122997	"0.0190544390498289-0.0213975254417419"	2235	643457	0.00347342557466933	"0.00333260841056898-0.00362017126236005"
"80+"	"F"	2020-08-01	1111	56198	0.0197693868109185	"0.0186508538285885-0.0209535683939747"	2207	644021	0.00342690688657668	"0.0032871122904998-0.00357262536932954"
"80+"	"F"	2020-09-01	1162	56504	0.0205649157581764	"0.0194268950112808-0.0217681214452773"	2282	645225	0.00353675074586385	"0.00339482449500918-0.00368458852145347"
"80+"	"F"	2020-10-01	1362	56873	0.0239480948780616	"0.0227233655784258-0.0252371292179612"	2497	645371	0.00386909235153113	"0.00372055428188071-0.00402353665219329"
"80+"	"M"	2019-02-01	689	19194	0.0358966343649057	"0.0333563191231806-0.0386226823590819"	2164	454819	0.00475793667370976	"0.00456208929171397-0.00496214973930421"
"80+"	"M"	2019-03-01	580	19295	0.0300596009328842	"0.0277422733835349-0.0325640129447955"	2098	456133	0.00459953566174778	"0.0044073019296963-0.00480011364627149"
"80+"	"M"	2019-04-01	703	19448	0.0361476758535582	"0.0336145911249943-0.038863968902616"	2369	457598	0.00517703311640348	"0.00497321534415001-0.00538915873132103"
"80+"	"M"	2019-05-01	684	19540	0.0350051177072671	"0.0325181500361382-0.0376748804236716"	2289	459390	0.00498269444263044	"0.00478317991041076-0.00519048766047112"
"80+"	"M"	2019-06-01	676	19858	0.0340416960418975	"0.0316083343609938-0.0366552987785488"	1960	460925	0.00425231870694799	"0.00406855167536753-0.00444434902835476"
"80+"	"M"	2019-07-01	662	20039	0.0330355806177953	"0.0306490919039983-0.0356010683613927"	2171	462572	0.00469332341775983	"0.00450043497651783-0.0048944384027647"
"80+"	"M"	2019-08-01	688	20249	0.0339769865178527	"0.0315686951643919-0.0365620637528826"	2125	463817	0.00458154832617174	"0.00439125933952596-0.00478004362616529"
"80+"	"M"	2019-09-01	700	20426	0.0342700479780672	"0.0318614840564281-0.0368537559345596"	2142	465278	0.00460369929375556	"0.00441323656899595-0.00480234219800862"
"80+"	"M"	2019-10-01	816	20532	0.0397428404441847	"0.0371556814756797-0.0425021919112448"	2348	466101	0.00503753478323368	"0.00483832870793852-0.0052448994432883"
"80+"	"M"	2019-11-01	799	20399	0.0391685866954262	"0.0365920166993683-0.0419186879029152"	2335	466287	0.00500764550587943	"0.0048090791783541-0.00521436765624012"
"80+"	"M"	2019-12-01	958	20246	0.0473179887385163	"0.0444782866573655-0.0503294412315076"	2935	467053	0.00628408339096419	"0.00606147882636357-0.00651480940543739"
"80+"	"M"	2020-01-01	895	20148	0.0444212825094302	"0.0416622132963915-0.0473540417434431"	2679	467059	0.0057358920393355	"0.00552334233935721-0.00595657210229171"
"80+"	"M"	2020-02-01	787	20305	0.0387589263728146	"0.036190086124885-0.0415022560020655"	2291	467054	0.00490521438634505	"0.00470887909210094-0.00510969379492555"
"80+"	"M"	2020-03-01	1031	20448	0.050420579029734	"0.0475050073817793-0.0535050392186805"	3056	468331	0.00652529941430313	"0.0062987173016934-0.00675997685774689"
"80+"	"M"	2020-04-01	2082	20021	0.103990809649868	"0.0998382679692757-0.108295287913875"	3789	467667	0.00810191867290187	"0.00784900293163122-0.00836291533800135"
"80+"	"M"	2020-05-01	860	18253	0.0471155426505232	"0.0441358278746532-0.0502858420899413"	2212	466694	0.00473972238768872	"0.00454670744537294-0.00494089045090186"
"80+"	"M"	2020-06-01	538	18009	0.0298739519129324	"0.0274860980372293-0.0324623260517368"	2038	467393	0.00436035627405631	"0.00417549231961567-0.00455336739215913"
"80+"	"M"	2020-07-01	533	18308	0.0291129560847717	"0.0267746764081821-0.0316488011665081"	2020	468562	0.00431106235674254	"0.00412748910588207-0.00450276325359574"
"80+"	"M"	2020-08-01	576	18744	0.030729833546735	"0.0283536733028699-0.0332983020117006"	1991	469528	0.00424042868582917	"0.00405857544179457-0.00443039401006797"
"80+"	"M"	2020-09-01	607	18894	0.0321266010373664	"0.0297058033096878-0.0347376127002533"	2153	470987	0.00457125143581458	"0.00438260184047101-0.00476798258590899"
"80+"	"M"	2020-10-01	705	18946	0.0372110207959464	"0.0346082788555566-0.0400013933094094"	2328	471366	0.00493883733659195	"0.00474270477747019-0.00514303896124497"
