"Age"	"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"60-69"	"F"	2019-02-01	16	1468	0.0108991825613079	"0.00671989558197261-0.0176315443138786"	238	598507	0.00039765616776412	"0.000350250855980348-0.000451474736243044"
"60-69"	"F"	2019-03-01	22	1480	0.0148648648648649	"0.00983683073904274-0.0224047935506013"	271	598318	0.000452936398370098	"0.000402134451328328-0.000510152918107877"
"60-69"	"F"	2019-04-01	16	1479	0.0108181203515889	"0.00666983690945561-0.0175009593732427"	293	598037	0.000489936241403124	"0.000436968181745692-0.000549321412426296"
"60-69"	"F"	2019-05-01	15	1483	0.0101146325016858	"0.00613911825858012-0.0166215188086267"	279	598441	0.000466211372549675	"0.000414631695899906-0.000524204133064884"
"60-69"	"F"	2019-06-01	15	1503	0.00998003992015968	"0.00605730477266329-0.0164012349911547"	280	598135	0.000468121745090991	"0.000416417911960926-0.000526241918398063"
"60-69"	"F"	2019-07-01	18	1513	0.0118968935888962	"0.0075384884292-0.0187275781982706"	279	597676	0.000466808103387119	"0.000415162419840556-0.000524875071551739"
"60-69"	"F"	2019-08-01	23	1517	0.015161502966381	"0.0101239399547138-0.022648351023823"	283	597444	0.00047368456290464	"0.00042162832213987-0.000532164493362285"
"60-69"	"F"	2019-09-01	20	1530	0.0130718954248366	"0.00847784028655741-0.0201049435263159"	308	597125	0.000515804898471844	"0.000461338920056603-0.000576697456324724"
"60-69"	"F"	2019-10-01	23	1537	0.0149642160052049	"0.00999193813162176-0.022354971107724"	296	596977	0.000495831497695891	"0.000442483082600148-0.000555608342519388"
"60-69"	"F"	2019-11-01	26	1534	0.0169491525423729	"0.0115925150353074-0.0247190686460927"	288	596837	0.000482543810119011	"0.000429949865141349-0.000541567863778515"
"60-69"	"F"	2019-12-01	26	1539	0.0168940870695257	"0.0115547697303399-0.0246391363262019"	336	596876	0.000562930994042314	"0.000505885385178562-0.000626405256718281"
"60-69"	"F"	2020-01-01	20	1516	0.0131926121372032	"0.0085562759840867-0.020289797773312"	320	597269	0.000535771988835851	"0.000480210408837922-0.000597758342006551"
"60-69"	"F"	2020-02-01	22	1525	0.0144262295081967	"0.00954599289116318-0.0217466297314583"	282	596811	0.000472511398080799	"0.000420497425660708-0.000530955888457108"
"60-69"	"F"	2020-03-01	29	1528	0.018979057591623	"0.0132465772627835-0.0271240880332866"	347	596628	0.000581601936214861	"0.000523556974204171-0.000646077983786684"
"60-69"	"F"	2020-04-01	45	1534	0.0293350717079531	"0.0219954703695484-0.0390260727046363"	410	596520	0.000687319788104338	"0.000623951014455503-0.000757119450064339"
"60-69"	"F"	2020-05-01	24	1514	0.0158520475561427	"0.0106754188611223-0.023479306930182"	277	596490	0.00046438330902446	"0.000412831572895494-0.000522369128349642"
"60-69"	"F"	2020-06-01	14	1538	0.00910273081924577	"0.00543001002197799-0.015221567764138"	270	596446	0.000452681382723667	"0.000401819684317295-0.00050997778970088"
