"Age"	"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"70-79"	"F"	2020-08-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	 [REDACTED]	 [REDACTED] [REDACTED]	 [REDACTED]
"70-79"	"F"	2020-09-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	13	1058558	1.22808575439419e-05	"7.17732828790947e-06-2.10132390006007e-05"
"70-79"	"F"	2020-10-01	19	10030	0.00189431704885344	"0.00121310387582529-0.00295693000326412"	102	1060749	9.6158469157171e-05	"7.92211333623452e-05-0.000116716554190635"
"70-79"	"M"	2020-03-01	22	7727	0.00284715931150511	"0.0018810363880582-0.0043073532038805"	240	954452	0.000251453189893258	"0.000221592460537727-0.000285336658447155"
"70-79"	"M"	2020-04-01	286	7657	0.0373514431239389	"0.0333309307821117-0.0418359372331074"	799	955435	0.00083626829663975	"0.000780279253423046-0.000896271237631837"
"70-79"	"M"	2020-05-01	90	7237	0.0124360923034407	"0.010129112569698-0.0152604032574633"	177	956302	0.000185087974301005	"0.00015975732861201-0.00021443411026367"
"70-79"	"M"	2020-06-01	13	7191	0.00180781532471144	"0.00105683644026518-0.00309078223785166"	59	958631	6.15461006372629e-05	"4.77182619965237e-05-7.938066405052e-05"
"70-79"	"M"	2020-07-01	7	7394	0.000946713551528266	"0.000458669754261416-0.00195304167805391"	23	960471	2.39465845402933e-05	"1.59576779148276e-05-3.59348409407337e-05"
"70-79"	"M"	2020-08-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	14	962615	1.45437168546096e-05	"8.66377046766722e-06-2.44141804816819e-05"
"70-79"	"M"	2020-09-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	26	964408	2.69595440933713e-05	"1.83988491261931e-05-3.9503238363966e-05"
"70-79"	"M"	2020-10-01	24	7667	0.00313029868266597	"0.00210451858205519-0.00465373070506593"	228	966040	0.000236015071839675	"0.00020730647606564-0.000268698275567877"
"80+"	"F"	2020-03-01	80	58252	0.0013733434045183	"0.00110370631251612-0.00170874055491964"	193	644416	0.000299495977753501	"0.000260123037349626-0.000344826459453858"
"80+"	"F"	2020-04-01	1279	57989	0.0220559071548052	"0.0208918375827302-0.0232832949746182"	1226	643399	0.00190550498213395	"0.00180187658155164-0.00201508116338533"
"80+"	"F"	2020-05-01	478	55177	0.00866302988564076	"0.00792326490309052-0.00947120450776445"	456	642302	0.000709946411501132	"0.000647725925847128-0.000778139136722772"
"80+"	"F"	2020-06-01	118	54730	0.00215603873561118	"0.00180083246472515-0.00258112671132027"	153	642840	0.000238006346835916	"0.000203166327421233-0.000278819247983151"
"80+"	"F"	2020-07-01	27	55416	0.00048722390645301	"0.000334886490092025-0.000708809365004796"	31	643457	4.81772674786349e-05	"3.39424324957571e-05-6.83815234910933e-05"
"80+"	"F"	2020-08-01	22	56198	0.000391473006156803	"0.000258549116905093-0.000592694500365842"	15	644021	2.3291165971296e-05	"1.4115411513793e-05-3.84314106616338e-05"
"80+"	"F"	2020-09-01	27	56504	0.00047784227665298	"0.000328437766380627-0.000695162805282427"	36	645225	5.57944902940835e-05	"4.03042196957043e-05-7.72377343329183e-05"
"80+"	"F"	2020-10-01	125	56873	0.00219787948587203	"0.00184517368392401-0.00261782834484507"	266	645371	0.000412166025433433	"0.000365529600022859-0.000464749835118222"
"80+"	"M"	2020-03-01	62	20448	0.0030320813771518	"0.00236615010875138-0.00388470310063321"	348	468331	0.000743064200319859	"0.000669011143324716-0.000825307444292535"
"80+"	"M"	2020-04-01	987	20021	0.0492982368513061	"0.0463849691878351-0.0523844249613245"	1420	467667	0.00303634851293762	"0.00288269165404349-0.00319816951307527"
"80+"	"M"	2020-05-01	339	18253	0.0185722894866597	"0.0167125887345235-0.0206345865892381"	404	466694	0.000865663582561593	"0.00078529649680663-0.000954247565113629"
"80+"	"M"	2020-06-01	83	18009	0.00460880670775723	"0.00371971073126356-0.00570919914999921"	158	467393	0.000338045285231058	"0.000289291121258413-0.000395012730308956"
"80+"	"M"	2020-07-01	31	18308	0.00169324885296045	"0.00119318803035635-0.00240237929523224"	43	468562	9.17701392771928e-05	"6.81360793418029e-05-0.000123601027530913"
"80+"	"M"	2020-08-01	7	18744	0.000373452838241571	"0.000180915329496743-0.000770738697441909"	20	469528	4.25959687175206e-05	"2.75757835793202e-05-6.57969229116391e-05"
"80+"	"M"	2020-09-01	16	18894	0.000846829681380332	"0.000521342172383664-0.00137524791695508"	46	470987	9.76672392231633e-05	"7.32290304322603e-05-0.000130259976962958"
"80+"	"M"	2020-10-01	81	18946	0.00427530877230022	"0.00344141750966402-0.00531018387872115"	324	471366	0.000687363959216405	"0.000616503675622007-0.00076636260365318"
