"Age"	"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"60-69"	"F"	2020-03-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	30	596628	5.0282588145377e-05	"3.52233227305752e-05-7.17797810001874e-05"
"60-69"	"F"	2020-04-01	22	1534	0.0143415906127771	"0.00948987695757106-0.0216196100095587"	108	596520	0.000181050090525045	"0.00014997499674712-0.000218562593105222"
"60-69"	"F"	2020-05-01	10	1514	0.00660501981505945	"0.00359165781265521-0.0121158185394653"	33	596490	5.53236433133833e-05	"3.9395618787194e-05-7.76910197770629e-05"
"60-69"	"F"	2020-06-01	[REDACTED]	[REDACTED] [REDACTED]	 [REDACTED]	15	596446	2.51489657068704e-05	"1.52413193302234e-05-4.14968277332805e-05"
"60-69"	"F"	2020-07-01	[REDACTED]	[REDACTED] [REDACTED]	 [REDACTED]"	8	596826	1.34042417723088e-05	"6.79227789840197e-06-2.64524720159053e-05"
"60-69"	"F"	2020-08-01	[REDACTED]	[REDACTED] [REDACTED]	 [REDACTED]	 [REDACTED]	 [REDACTED] [REDACTED]	 [REDACTED]
"60-69"	"F"	2020-09-01	[REDACTED]	[REDACTED] [REDACTED]	 [REDACTED]	 [REDACTED]	 [REDACTED] [REDACTED]	 [REDACTED]
"60-69"	"F"	2020-10-01	[REDACTED]	[REDACTED] [REDACTED]	 [REDACTED]	32	596496	5.36466296504922e-05	"3.80027763800857e-05-7.57297916869547e-05"
"60-69"	"M"	2020-03-01	[REDACTED]	[REDACTED] [REDACTED]	 [REDACTED]	61	572794	0.000106495528933613	"8.29152916152835e-05-0.000136780820542187"
"60-69"	"M"	2020-04-01	38	1765	0.0215297450424929	"0.0157256091995777-0.0294121042017835"	229	572563	0.000399955987376062	"0.000351408551868534-0.00045520724454047"
"60-69"	"M"	2020-05-01	7	1722	0.0040650406504065	"0.00197049170314988-0.00836734015823419"	39	572216	6.81560809204916e-05	"4.98608781752598e-05-9.31636255050863e-05"
"60-69"	"M"	2020-06-01	[REDACTED]	[REDACTED][REDACTED]	[REDACTED]	27	572395	4.71702233597428e-05	"3.24199711206598e-05-6.86310000400765e-05"
"60-69"	"M"	2020-07-01	[REDACTED]	[REDACTED][REDACTED]	[REDACTED]	12	572858	2.09475995796515e-05	"1.19833923605875e-05-3.66172593249821e-05"
"60-69"	"M"	2020-08-01	[REDACTED]	[REDACTED][REDACTED]	[REDACTED]	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]
"60-69"	"M"	2020-09-01	[REDACTED]	[REDACTED][REDACTED]	[REDACTED]	10	573034	1.74509714955832e-05	"9.47937006833267e-06-3.21260128501834e-05"
"60-69"	"M"	2020-10-01	6	1781	0.00336889387984278	"0.00154488094568923-0.00733067421491372"	48	573281	8.37285728988053e-05	"6.3157250544437e-05-0.000110999558776791"
"70-79"	"F"	2020-03-01	10	9927	0.00100735368187771	"0.000547281786324125-0.00185346732638252"	109	1047327	0.000104074467668646	"8.62852635375821e-05-0.000125530764444266"
"70-79"	"F"	2020-04-01	214	9903	0.0216096132485106	"0.0189258551227938-0.0246643709463029"	432	1048724	0.000411929163440524	"0.000374879691280916-0.000452638588021647"
"70-79"	"F"	2020-05-01	65	9571	0.00679134886636715	"0.00533231215202604-0.00864613954310824"	120	1050131	0.000114271457561009	"9.55742775735673e-05-0.000136625863964405"
"70-79"	"F"	2020-06-01	13	9545	0.00136196961760084	"0.000796143632304155-0.00232899557430904"	51	1052649	4.84491981657704e-05	"3.68525595009323e-05-6.36947953839067e-05"
"70-79"	"F"	2020-07-01	13	9727	0.00133648606970289	"0.000781244089755668-0.00228544433045735"	22	1054667	2.08596647093348e-05	"1.37761168854134e-05-3.15853901744763e-05"
