"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"60-69"	2019-02-01	49	3131	0.0156499520919834	"0.0118583082472707-0.0206286484803611"	654	1172142	0.000557952876016728	"0.000516808493785168-0.00060237088852447"
"60-69"	2019-03-01	46	3158	0.0145661811272958	"0.0109384751946803-0.0193734364140824"	671	1171836	0.000572605722985128	"0.000530899069725496-0.000617586765288664"
"60-69"	2019-04-01	42	3165	0.0132701421800948	"0.00983258855757247-0.0178877817929798"	751	1171161	0.000641244030496234	"0.000597005638781559-0.000688758248174776"
"60-69"	2019-05-01	44	3169	0.0138845061533607	"0.0103592553218572-0.0185868675817531"	714	1171794	0.000609322116344682	"0.000566249296990144-0.000655669201373135"
"60-69"	2019-06-01	53	3195	0.0165884194053208	"0.0127049287756398-0.021632958936116"	676	1171499	0.000577038478052478	"0.000535158902846995-0.000622193355157198"
"60-69"	2019-07-01	42	3202	0.0131168019987508	"0.00971880408933666-0.0176816335021741"	751	1171035	0.000641313026510736	"0.000597069876243355-0.00068883235475762"
"60-69"	2019-08-01	45	3226	0.013949163050217	"0.0104414984431762-0.0186130108933156"	716	1170480	0.000611714852026519	"0.000568531163012933-0.000658176466740544"
"60-69"	2019-09-01	52	3247	0.0160147828765014	"0.0122337244294905-0.0209396739618958"	726	1169991	0.00062051759372508	"0.000577004390184766-0.000667310035172412"
"60-69"	2019-10-01	45	3256	0.0138206388206388	"0.0103451481351599-0.0184419754124506"	761	1169770	0.000650555237354352	"0.000605960026971188-0.000698430107892678"
"60-69"	2019-11-01	59	3273	0.0180262755881454	"0.0140010224549582-0.0231815694866561"	700	1169564	0.000598513634140586	"0.000555799231021-0.000644508616935609"
"60-69"	2019-12-01	64	3269	0.019577852554298	"0.0153618512420381-0.0249216334545291"	842	1170029	0.00071964028242035	"0.000672661480014466-0.00076989756535067"
"60-69"	2020-01-01	51	3234	0.0157699443413729	"0.0120149127987193-0.0206739819994974"	832	1170506	0.000710803703697375	"0.000664132980551121-0.000760751629339935"
"60-69"	2020-02-01	46	3276	0.014041514041514	"0.0105438781034916-0.0186774912901239"	718	1169695	0.000613835230551554	"0.000570560085074737-0.00066039048765983"
"60-69"	2020-03-01	65	3285	0.0197869101978691	"0.0155552174415473-0.0251404075973948"	902	1169422	0.000771321216806251	"0.000722617757998838-0.000823304518325645"
"60-69"	2020-04-01	125	3299	0.0378902697787208	"0.0318941047931342-0.0449613731296027"	1096	1169083	0.000937486902127565	"0.000883626712923705-0.000994626793103836"
"60-69"	2020-05-01	52	3236	0.0160692212608158	"0.0122753793089113-0.0210106503290787"	665	1168706	0.00056900537859821	"0.000527381425876347-0.000613912513392403"
"60-69"	2020-06-01	34	3268	0.0104039167686659	"0.00745475320727088-0.0145027467892567"	688	1168841	0.000588617271296951	"0.000546257798458172-0.000634259418094309"
"60-69"	2020-07-01	35	3291	0.010635065329687	"0.00765694161035406-0.0147542911435047"	691	1169684	0.000590757845708756	"0.000548333316482138-0.00063646266899403"
"60-69"	2020-08-01	41	3358	0.0122096486003574	"0.00901311574568573-0.016520943451385"	626	1169947	0.000535066973119295	"0.000494771178108975-0.000578642690506886"
"60-69"	2020-09-01	41	3368	0.0121733966745843	"0.00898631811282159-0.0164720137420567"	683	1169652	0.000583934366803118	"0.000541764020973186-0.000629385141255763"
"60-69"	2020-10-01	38	3411	0.0111404280269716	"0.00812735414951359-0.0152533678498811"	692	1169777	0.000591565742872359	"0.000549112775217112-0.000637298738489962"
"70-79"	2019-02-01	309	16201	0.0190728967347695	"0.0170778488501887-0.0212959581630364"	2210	1941765	0.00113813978519543	"0.00109169224891818-0.00118656114786468"
"70-79"	2019-03-01	280	16243	0.0172381949147325	"0.0153476895097728-0.0193569920278546"	2216	1946982	0.00113817179614398	"0.00109178457125991-0.00118652755837378"
"70-79"	2019-04-01	333	16384	0.02032470703125	"0.0182737920695833-0.0226005024800601"	2439	1951833	0.00124959461183411	"0.00120100557144059-0.00130014685847868"
"70-79"	2019-05-01	265	16421	0.01613787223677	"0.0143206915763314-0.0181813852418289"	2358	1957161	0.00120480634960537	"0.00115717607188784-0.00125439466494527"
"70-79"	2019-06-01	293	16630	0.0176187612748046	"0.0157277550677032-0.0197325720179508"	2161	1962558	0.00110111395433918	"0.00105568070753008-0.00114850026014083"
"70-79"	2019-07-01	305	16860	0.0180901542111507	"0.016185405333555-0.0202144541124446"	2325	1967667	0.00118160237479208	"0.00113456527608282-0.00123058714716007"
"70-79"	2019-08-01	300	17010	0.017636684303351	"0.015764756789004-0.0197264319752852"	2300	1972214	0.00116620204501134	"0.0011195311716262-0.00121481616163557"
"70-79"	2019-09-01	321	17149	0.0187182926118141	"0.0167950194079647-0.0208571363804033"	2320	1977367	0.00117327739362496	"0.00112652223075492-0.00122197070817942"
"70-79"	2019-10-01	365	17219	0.021197514373657	"0.0191504351378244-0.0234581820624958"	2503	1982034	0.00126284412880909	"0.00121435969175118-0.00131326180670283"
"70-79"	2019-11-01	371	17269	0.0214835832995541	"0.0194251488150084-0.0237548607160706"	2381	1985882	0.00119896348322811	"0.00115178895409472-0.00124806775434514"
"70-79"	2019-12-01	445	17266	0.0257731958762887	"0.023513032812236-0.0282443305053153"	2958	1990424	0.0014861155211151	"0.00143355365783668-0.00154060161446997"
"70-79"	2020-01-01	423	17333	0.0244043154676051	"0.0222104374469325-0.0268089563589853"	2842	1994029	0.00142525509909836	"0.00137384450590472-0.00147858667805687"
"70-79"	2020-02-01	354	17518	0.0202077862769723	"0.018226864247718-0.0223990859695375"	2295	1996339	0.00114960435076407	"0.00110354828352739-0.00119758024180334"
"70-79"	2020-03-01	458	17654	0.0259431290359125	"0.0236993181445543-0.0283932018254447"	3126	2001779	0.00156161094706259	"0.00150785918022475-0.00161727573913628"
"70-79"	2020-04-01	1041	17560	0.0592824601366743	"0.0558850643263558-0.0628726381791613"	3601	2004159	0.00179676363003135	"0.00173907853180661-0.00185635858026737"
"70-79"	2020-05-01	408	16808	0.0242741551642075	"0.0220539616740372-0.0267117527082232"	2243	2006433	0.00111790426094467	"0.0010726119953882-0.00116510681342128"
"70-79"	2020-06-01	256	16736	0.0152963671128107	"0.0135451015528113-0.0172700922523177"	2209	2011280	0.00109830555666044	"0.00105347288448278-0.0011450439870163"
"70-79"	2020-07-01	276	17121	0.0161205537059751	"0.0143397427054452-0.0181184531941957"	2231	2015138	0.00110712020715207	"0.0010621466568375-0.00115399583345377"
"70-79"	2020-08-01	271	17432	0.015546122074346	"0.0138134923661959-0.0174922212186541"	2174	2019340	0.00107658938068874	"0.00103229775889222-0.00112277923665146"
"70-79"	2020-09-01	294	17573	0.0167302111193308	"0.014936776181589-0.0187348854879589"	2304	2022966	0.00113892176141369	"0.00109338082346342-0.00118635729437969"
"70-79"	2020-10-01	361	17697	0.0203989376730519	"0.0184179480880988-0.0225880945065029"	2474	2026789	0.00122065000352775	"0.00117351610384486-0.00126967461477664"
"80+"	2019-02-01	1937	73989	0.0261795672329671	"0.0250534371082728-0.0273548956759038"	4692	1089169	0.00430787141389445	"0.0041866105336046-0.00443262885749771"
"80+"	2019-03-01	1753	74334	0.023582748136788	"0.0225162570985953-0.0246984775499076"	4460	1091465	0.00408625104790351	"0.00396830529646809-0.00420768756732579"
"80+"	2019-04-01	1999	74795	0.0267263854535731	"0.0255946211374607-0.0279067617820039"	4979	1094237	0.00455020256123673	"0.00442582943809823-0.00467805435181749"
"80+"	2019-05-01	1990	75122	0.0264902425388035	"0.0253658700531118-0.02766303959317"	4872	1097680	0.00443845200787115	"0.0043158203226096-0.00456455223153661"
"80+"	2019-06-01	1852	76176	0.0243121193026675	"0.0232421516964681-0.0254300611595403"	4156	1100444	0.00377665742191334	"0.0036637736799117-0.00389300561077845"
"80+"	2019-07-01	1919	76826	0.0249785228958946	"0.0238985150144886-0.0261060325138288"	4560	1103515	0.00413225012800007	"0.00401427536660025-0.00425367721929238"
"80+"	2019-08-01	1926	77587	0.0248237462461495	"0.0237522612057925-0.0259422824584501"	4446	1105713	0.00402093490806385	"0.00390469087761655-0.00414062517914535"
"80+"	2019-09-01	1939	78233	0.0247849373026728	"0.0237186227528244-0.0258979183349682"	4475	1108421	0.00403727464564457	"0.00392093243689329-0.00415705456223996"
