"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
2019-02-01	2295	93321	0.0245925354421834	"0.0236182370911615-0.0256059714583673"	7556	4203076	0.0017977309951093	"0.00175768555701358-0.00183868710993396"
2019-03-01	2079	93735	0.0221795487277964	"0.0212561817422752-0.0231420782964835"	7347	4210283	0.00174501333995838	"0.00170559846413221-0.00178533742985264"
2019-04-01	2374	94344	0.0251632324260154	"0.0241829974297635-0.0261821342504848"	8169	4217231	0.00193705300942728	"0.00189553956007491-0.00197947382503877"
2019-05-01	2299	94712	0.0242735872962243	"0.0233125976372946-0.0252731657148836"	7944	4226635	0.00187950934963629	"0.00183866775232381-0.00192125639897548"
2019-06-01	2198	96001	0.0228955948375538	"0.0219683689050777-0.0238610016971113"	6993	4234501	0.00165143425400065	"0.00161320975482148-0.00169056293705271"
2019-07-01	2266	96888	0.0233878292461399	"0.0224549245239544-0.0243585263355634"	7636	4242217	0.00180000221582253	"0.00176011446335087-0.00184079223851891"
2019-08-01	2271	97823	0.0232153992414872	"0.022290295414876-0.0241779477690177"	7462	4248407	0.00175642305457081	"0.00171705410303298-0.00179669304052124"
2019-09-01	2312	98629	0.023441381338146	"0.0225155288760684-0.0244043549108427"	7521	4255779	0.00176724402277468	"0.00172778665530289-0.00180760084432413"
2019-10-01	2792	99078	0.0281798179212338	"0.0271675310829521-0.0292286902281249"	8266	4261737	0.00193958472801114	"0.00189825905687062-0.0019818082850845"
2019-11-01	2716	98923	0.027455697866017	"0.0264556143803907-0.0284924803799521"	7888	4265211	0.00184938095676861	"0.00180905262617268-0.00189060660445673"
2019-12-01	3344	98713	0.0338759839129598	"0.0327654423029077-0.0350228029441019"	9992	4271509	0.00233922016786105	"0.00229385301290505-0.00238548243584298"
2020-01-01	2941	98368	0.0298979342875732	"0.0288518877119479-0.0309806962016567"	9390	4275469	0.00219625028271752	"0.00215232222706535-0.00224107287924329"
2020-02-01	2621	99122	0.0264421621839753	"0.0254615329639517-0.0274594953130183"	7837	4276418	0.00183260850552963	"0.00179251720966482-0.00187359479706661"
2020-03-01	3237	99639	0.0324872790774697	"0.0314043510852759-0.0336062544332127"	10224	4283948	0.00238658359065049	"0.00234082198119929-0.00243323762911047"
2020-04-01	6713	98869	0.0678979255378329	"0.0663465390221172-0.0694828885605224"	12427	4284308	0.00290058511199475	"0.00285010521974239-0.00295195643652504"
2020-05-01	2916	93474	0.0311958405545927	"0.030100490750021-0.0323297212418929"	7529	4284135	0.00175741427382657	"0.00171819680605937-0.0017975252599631"
2020-06-01	1890	92743	0.0203788965204921	"0.0194892223901102-0.0213083012700428"	7171	4290354	0.00167142384987346	"0.00163321462570781-0.00171052545121379"
2020-07-01	1963	94136	0.020852808702303	"0.0199593681595268-0.0217853532880838"	7177	4296841	0.0016702968529671	"0.00163212915135516-0.00170935558653593"
2020-08-01	1999	95732	0.0208812100447081	"0.0199944851575702-0.0218063847970959"	6998	4302836	0.00162636921323518	"0.00158873771301167-0.00166489058240595"
2020-09-01	2104	96339	0.021839545770664	"0.0209354919968489-0.0227817307365177"	7422	4308830	0.00172250935868902	"0.00168379720236636-0.00176210997464228"
2020-10-01	2466	96927	0.0254418273546071	"0.0244691788998669-0.0264520901671885"	7991	4313303	0.00185264054020782	"0.00181249954606439-0.00189366884083712"
