"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
2019-02-01	2295	93321	0.0245925354421834	"0.0236182370911615-0.0256059714583673"	7556	4203076	0.0017977309951093	"0.00175768555701358-0.00183868710993396"
2019-03-01	2079	93735	0.0221795487277964	"0.0212561817422752-0.0231420782964835"	7347	4210283	0.00174501333995838	"0.00170559846413221-0.00178533742985264"
2019-04-01	2374	94344	0.0251632324260154	"0.0241829974297635-0.0261821342504848"	8169	4217231	0.00193705300942728	"0.00189553956007491-0.00197947382503877"
2019-05-01	2299	94712	0.0242735872962243	"0.0233125976372946-0.0252731657148836"	7944	4226635	0.00187950934963629	"0.00183866775232381-0.00192125639897548"
2019-06-01	2198	96001	0.0228955948375538	"0.0219683689050777-0.0238610016971113"	6993	4234501	0.00165143425400065	"0.00161320975482148-0.00169056293705271"
2019-07-01	2266	96888	0.0233878292461399	"0.0224549245239544-0.0243585263355634"	7636	4242217	0.00180000221582253	"0.00176011446335087-0.00184079223851891"
2019-08-01	2271	97823	0.0232153992414872	"0.022290295414876-0.0241779477690177"	7462	4248407	0.00175642305457081	"0.00171705410303298-0.00179669304052124"
2019-09-01	2312	98629	0.023441381338146	"0.0225155288760684-0.0244043549108427"	7521	4255779	0.00176724402277468	"0.00172778665530289-0.00180760084432413"
2019-10-01	2792	99078	0.0281798179212338	"0.0271675310829521-0.0292286902281249"	8266	4261737	0.00193958472801114	"0.00189825905687062-0.0019818082850845"
2019-11-01	2716	98923	0.027455697866017	"0.0264556143803907-0.0284924803799521"	7888	4265211	0.00184938095676861	"0.00180905262617268-0.00189060660445673"
2019-12-01	3344	98713	0.0338759839129598	"0.0327654423029077-0.0350228029441019"	9992	4271509	0.00233922016786105	"0.00229385301290505-0.00238548243584298"
2020-01-01	2941	98368	0.0298979342875732	"0.0288518877119479-0.0309806962016567"	9390	4275469	0.00219625028271752	"0.00215232222706535-0.00224107287924329"
2020-02-01	2621	99122	0.0264421621839753	"0.0254615329639517-0.0274594953130183"	7837	4276418	0.00183260850552963	"0.00179251720966482-0.00187359479706661"
2020-03-01	3056	99639	0.0306707213039071	"0.0296180733212892-0.0317595567149657"	9243	4283948	0.00215758921443491	"0.00211409527775264-0.00220197599080866"
2020-04-01	3887	98869	0.0393146486765316	"0.0381210436935581-0.0405440512310181"	8213	4284308	0.00191699569685466	"0.00187602071144036-0.00195886387838593"
2020-05-01	1927	93474	0.0206153582814472	"0.0197239557125522-0.0215461613399491"	6300	4284135	0.00147054189468819	"0.00143470046119035-0.00150727736101508"
2020-06-01	1661	92743	0.0179097074711838	"0.017075912127137-0.0187834379758782"	6708	4290354	0.0015635073469462	"0.00152656475186128-0.00160134251245625"
2020-07-01	1883	94136	0.0200029744199881	"0.0191279688368286-0.020917153402619"	7038	4296841	0.00163794750608645	"0.00160015491085027-0.00167663119112134"
2020-08-01	1964	95732	0.0205156060669369	"0.0196366904196528-0.0214330009196343"	6941	4302836	0.00161312213619111	"0.00157564576169953-0.00165148840328322"
2020-09-01	2054	96339	0.0213205451582433	"0.0204272996510296-0.0222519632455105"	7287	4308830	0.00169117834771852	"0.00165282330925353-0.00173042190167926"
2020-10-01	2209	96927	0.0227903473748285	"0.0218695916604267-0.0237489276082751"	6991	4313303	0.00162079965168225	"0.00158327836959782-0.00165920865321053"
