"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"F"	2019-02-01	1401	65349	0.0214387366294817	"0.0203560336498347-0.0225776995465815"	3740	2249221	0.00166279791981313	"0.0016103958581619-0.00171690220509742"
"F"	2019-03-01	1328	65635	0.020233107336025	"0.0191837087662581-0.0213386618256936"	3586	2252714	0.00159185764371332	"0.00154064101525994-0.00164477409832293"
"F"	2019-04-01	1478	66043	0.0223793589025332	"0.0212787395243243-0.0235355376378336"	3918	2256188	0.0017365574145417	"0.00168307070916999-0.00179174083600055"
"F"	2019-05-01	1469	66295	0.0221585338260804	"0.0210654096602456-0.0233070317593819"	3901	2260973	0.00172536337231802	"0.00167210730684094-0.00178031260108887"
"F"	2019-06-01	1316	67154	0.0195967477737737	"0.0185755464146435-0.0206729076982976"	3357	2264714	0.00148230637510962	"0.00143303904622415-0.00153326489497384"
"F"	2019-07-01	1429	67744	0.0210941190363722	"0.0200388729669452-0.0222036752411805"	3654	2268423	0.00161081068213468	"0.00155946138706701-0.00166384796776255"
"F"	2019-08-01	1392	68372	0.0203592113730767	"0.0193272671505002-0.0214450494944024"	3592	2271403	0.00158140145099747	"0.00153056280688575-0.00163392597056473"
"F"	2019-09-01	1413	68938	0.0204966781745917	"0.0194653859916096-0.0215814064778223"	3615	2274910	0.00158907385347113	"0.0015381488690907-0.00164168208845531"
"F"	2019-10-01	1778	69239	0.025679169254322	"0.0245270356409612-0.0268839316709127"	4014	2277860	0.00176218029202848	"0.00170854794067535-0.00181749313018902"
"F"	2019-11-01	1700	69209	0.0245632793422821	"0.0234361842213849-0.025743149946623"	3738	2279466	0.00163985775615868	"0.00158816447133252-0.00169323075609182"
"F"	2019-12-01	2121	69139	0.0306773311734332	"0.0294178031820391-0.0319890087053402"	4875	2282452	0.0021358609074802	"0.00207680093245154-0.00219659673056155"
"F"	2020-01-01	1792	68901	0.0260083307934573	"0.0248460773777217-0.0272234344716725"	4593	2284461	0.0020105399041612	"0.00195328477039212-0.00206946983368059"
"F"	2020-02-01	1622	69410	0.023368390721798	"0.0222706177495582-0.0245189186103832"	3767	2284638	0.00164883889701563	"0.00159705998358742-0.00170229369278906"
"F"	2020-03-01	1938	69707	0.0278020858737286	"0.0266073962154469-0.0290488170453352"	4801	2288371	0.00209799896957268	"0.00203954577278788-0.00215812380685889"
"F"	2020-04-01	3987	69426	0.0574280528908478	"0.0557217761067218-0.0591833034843414"	5786	2288643	0.00252813566816668	"0.00246390603460397-0.0025940352996047"
"F"	2020-05-01	1818	66262	0.0274365397965652	"0.0262199006416483-0.0287079683582887"	3619	2288923	0.00158109294196441	"0.00153045108314244-0.00163340777317872"
"F"	2020-06-01	1207	65813	0.0183398416726179	"0.017342488343137-0.0193934200540087"	3490	2291935	0.00152273079297624	"0.00147307844737586-0.00157405410803538"
"F"	2020-07-01	1257	66690	0.0188484030589294	"0.0178436712571884-0.0199085619887449"	3504	2294950	0.00152683064990523	"0.00147714262907819-0.00157818743122643"
"F"	2020-08-01	1257	67675	0.0185740672330994	"0.0175838317835025-0.019618954265261"	3377	2297670	0.00146974979000466	"0.00142104194471968-0.00152012461116105"
"F"	2020-09-01	1323	68082	0.0194324491054904	"0.0184223436650121-0.0204967825739337"	3514	2300401	0.00152755976023311	"0.00147791764580871-0.00157886667845023"
"F"	2020-10-01	1546	68533	0.0225584754789663	"0.0214732171297166-0.023697254589217"	3815	2302616	0.00165681120951127	"0.00160510528941399-0.00171017990068681"
"M"	2019-02-01	894	27972	0.031960531960532	"0.029962646236286-0.0340869538966791"	3816	1953855	0.00195306202353808	"0.00189212716230541-0.00201595529319046"
"M"	2019-03-01	751	28100	0.0267259786476868	"0.0249039599393067-0.0286773791465665"	3761	1957569	0.00192126050218409	"0.00186088717507698-0.00198358864693753"
"M"	2019-04-01	896	28301	0.031659658669305	"0.0296824433403118-0.0337639978430233"	4251	1961043	0.00216772401217107	"0.00210359881410096-0.00223379959933684"
"M"	2019-05-01	830	28417	0.0292078685294014	"0.0273127840835441-0.0312302207473105"	4043	1965662	0.00205681342977582	"0.0019944440990616-0.00212112899998397"
"M"	2019-06-01	882	28847	0.0305751031303082	"0.0286500259753847-0.0326251871356077"	3636	1969787	0.00184588485963203	"0.00178690538927335-0.00190680731650419"
"M"	2019-07-01	837	29144	0.0287194619818831	"0.026863199740687-0.0306999464425768"	3982	1973794	0.00201743444351336	"0.00195579848986077-0.0020810087714805"
"M"	2019-08-01	879	29451	0.0298461851889579	"0.0279632589782486-0.031851744992621"	3870	1977004	0.00195750742031883	"0.00189685486804525-0.00202009543251935"
"M"	2019-09-01	899	29691	0.0302785355831734	"0.0283894135714436-0.0322891881755769"	3906	1980869	0.00197186184447331	"0.00191104273758598-0.00203461257922107"
"M"	2019-10-01	1014	29839	0.033982372063407	"0.0319858426553895-0.0360988758063018"	4252	1983877	0.0021432780358863	"0.00207988259607883-0.00220860151094272"
"M"	2019-11-01	1016	29714	0.0341926364676583	"0.0321858731325075-0.0363198244176228"	4150	1985745	0.00208989573182861	"0.00202733406171763-0.00215438383001752"
"M"	2019-12-01	1223	29574	0.0413538919321025	"0.0391435849148336-0.0436833334129102"	5117	1989057	0.00257257584875647	"0.002503133838878-0.00264393921460992"
"M"	2020-01-01	1149	29467	0.0389927715749822	"0.0368419700924194-0.0412637555970569"	4797	1991008	0.00240933235828284	"0.00234218742983954-0.00247839738988124"
"M"	2020-02-01	999	29712	0.0336227786752827	"0.0316326995957111-0.0357334378093085"	4070	1991780	0.00204339836728956	"0.00198163814506495-0.00210707935997113"
"M"	2020-03-01	1299	29932	0.0433983696378458	"0.0411481185702389-0.0457658057435222"	5423	1995577	0.00271750977286269	"0.00264623227537249-0.00279070179084613"
"M"	2020-04-01	2726	29443	0.0925856740141969	"0.0893278211474074-0.0959498245535856"	6641	1995665	0.003327712817532	"0.00324876200370053-0.00340857571827784"
"M"	2020-05-01	1098	27212	0.0403498456563281	"0.0380759851540564-0.0427534634650206"	3910	1995212	0.00195969150145448	"0.00189927786124602-0.00202202293050201"
"M"	2020-06-01	683	26930	0.0253620497586335	"0.023550883476133-0.0273086072101492"	3681	1998419	0.00184195606627039	"0.00178345705504597-0.0019023702413653"
"M"	2020-07-01	706	27446	0.0257232383589594	"0.0239156749074423-0.0276635468139178"	3673	2001891	0.00183476522947553	"0.00177643199203268-0.00189501033680849"
"M"	2020-08-01	742	28057	0.0264461631678369	"0.0246324627992993-0.0283895202016062"	3621	2005166	0.00180583552683419	"0.00174801715457635-0.00186556275721263"
