"Date"	"Age"	"Gender"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	"65-74"	"F"	24.38	0.88	27.55	"22.82-33.25"	23.49	"19.15-27.83"
2019-03-01	"65-74"	"F"	18.85	0.85	22.19	"17.94-27.45"	18	"14.17-21.84"
2019-04-01	"65-74"	"F"	22.36	0.86	25.94	"21.34-31.54"	21.5	"17.35-25.65"
2019-05-01	"65-74"	"F"	15.08	0.85	17.78	"14.06-22.47"	14.23	"10.82-17.64"
2019-06-01	"65-74"	"F"	15.73	0.83	18.9	"15.04-23.76"	14.9	"11.44-18.36"
2019-07-01	"65-74"	"F"	18.05	0.82	22.04	"17.8-27.3"	17.23	"13.54-20.93"
2019-08-01	"65-74"	"F"	20.37	0.84	24.38	"19.94-29.8"	19.54	"15.64-23.43"
2019-09-01	"65-74"	"F"	19.96	0.82	24.31	"19.86-29.75"	19.14	"15.3-22.97"
2019-10-01	"65-74"	"F"	23.11	0.84	27.45	"22.73-33.15"	22.27	"18.15-26.39"
2019-11-01	"65-74"	"F"	23.67	0.88	26.9	"22.35-32.38"	22.79	"18.64-26.94"
2019-12-01	"65-74"	"F"	21.93	1.02	21.6	"17.85-26.14"	20.91	"16.92-24.91"
2020-01-01	"65-74"	"F"	23.49	0.98	24.04	"19.98-28.93"	22.51	"18.38-26.65"
2020-02-01	"65-74"	"F"	20.88	0.86	24.31	"20-29.56"	20.02	"16.14-23.9"
2020-03-01	"65-74"	"F"	25.75	0.93	27.77	"23.29-33.11"	24.82	"20.55-29.09"
2020-04-01	"65-74"	"F"	30.13	0.84	35.89	"30.43-42.33"	29.29	"24.68-33.9"
2020-05-01	"65-74"	"F"	17.77	0.81	21.85	"17.68-27.01"	16.96	"13.36-20.56"
2020-06-01	"65-74"	"F"	14.42	0.81	17.87	"14.13-22.59"	13.61	"10.35-16.87"
2020-07-01	"65-74"	"F"	14.42	0.79	18.35	"14.53-23.18"	13.63	"10.39-16.87"
2020-08-01	"65-74"	"F"	19.59	0.77	25.46	"20.83-31.13"	18.82	"15.09-22.55"
2020-09-01	"65-74"	"F"	17.71	0.78	22.74	"18.45-28.04"	16.93	"13.4-20.46"
2020-10-01	"65-74"	"F"	19.16	0.8	23.91	"19.55-29.24"	18.36	"14.69-22.02"
2020-11-01	"65-74"	"F"	15.3	0.74	20.54	"16.43-25.68"	14.56	"11.29-17.82"
2019-02-01	"65-74"	"M"	28.77	1.37	20.95	"17.63-24.91"	27.4	"22.63-32.16"
