"Age"	"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	"M"	2019-09-01	122	4878	25.01	"20.99-29.78"	1405	1135337	1.24	"1.17-1.3"
"65-74"	"M"	2019-10-01	118	4888	24.14	"20.2-28.83"	1489	1135320	1.31	"1.25-1.38"
"65-74"	"M"	2019-11-01	142	4947	28.7	"24.4-33.74"	1534	1135518	1.35	"1.29-1.42"
"65-74"	"M"	2019-12-01	163	4928	33.08	"28.44-38.44"	1636	1135710	1.44	"1.37-1.51"
"65-74"	"M"	2020-01-01	150	4977	30.14	"25.74-35.26"	1689	1136348	1.49	"1.42-1.56"
"65-74"	"M"	2020-02-01	128	4988	25.66	"21.62-30.43"	1492	1136738	1.31	"1.25-1.38"
"65-74"	"M"	2020-03-01	151	5054	29.88	"25.53-34.94"	1798	1138490	1.58	"1.51-1.65"
"65-74"	"M"	2020-04-01	373	5102	73.11	"66.28-80.58"	2345	1139351	2.06	"1.98-2.14"
"65-74"	"M"	2020-05-01	199	4951	40.19	"35.07-46.03"	1578	1139227	1.39	"1.32-1.46"
"65-74"	"M"	2020-06-01	108	4886	22.1	"18.34-26.62"	1398	1140000	1.23	"1.16-1.29"
"65-74"	"M"	2020-07-01	116	4948	23.44	"19.58-28.04"	1345	1140637	1.18	"1.12-1.24"
"65-74"	"M"	2020-08-01	129	5056	25.51	"21.51-30.23"	1386	1141815	1.21	"1.15-1.28"
"65-74"	"M"	2020-09-01	96	5050	19.01	"15.59-23.16"	1396	1142720	1.22	"1.16-1.29"
"65-74"	"M"	2020-10-01	139	5080	27.36	"23.22-32.22"	1526	1143555	1.33	"1.27-1.4"
"65-74"	"M"	2020-11-01	150	5094	29.45	"25.15-34.46"	1674	1144460	1.46	"1.39-1.53"
"75-79"	"F"	2019-02-01	142	5874	24.17	"20.55-28.42"	806	415800	1.94	"1.81-2.08"
"75-79"	"F"	2019-03-01	131	5856	22.37	"18.88-26.48"	767	417914	1.84	"1.71-1.97"
"75-79"	"F"	2019-04-01	150	5915	25.36	"21.65-29.68"	755	419863	1.8	"1.67-1.93"
"75-79"	"F"	2019-05-01	143	5913	24.18	"20.57-28.42"	730	422293	1.73	"1.61-1.86"
"75-79"	"F"	2019-06-01	114	5979	19.07	"15.9-22.85"	645	424435	1.52	"1.41-1.64"
"75-79"	"F"	2019-07-01	135	6048	22.32	"18.89-26.36"	717	426510	1.68	"1.56-1.81"
"75-79"	"F"	2019-08-01	115	6082	18.91	"15.78-22.65"	707	427890	1.65	"1.53-1.78"
"75-79"	"F"	2019-09-01	138	6148	22.45	"19.03-26.46"	730	429496	1.7	"1.58-1.83"
"75-79"	"F"	2019-10-01	155	6147	25.22	"21.58-29.44"	781	431367	1.81	"1.69-1.94"
"75-79"	"F"	2019-11-01	183	6244	29.31	"25.41-33.79"	784	433190	1.81	"1.69-1.94"
"75-79"	"F"	2019-12-01	200	6218	32.16	"28.06-36.85"	938	435595	2.15	"2.02-2.3"
"75-79"	"F"	2020-01-01	185	6240	29.65	"25.72-34.15"	936	436747	2.14	"2.01-2.28"
"75-79"	"F"	2020-02-01	159	6304	25.22	"21.63-29.39"	762	437417	1.74	"1.62-1.87"
"75-79"	"F"	2020-03-01	189	6320	29.91	"25.98-34.4"	927	438187	2.12	"1.98-2.26"
"75-79"	"F"	2020-04-01	426	6387	66.7	"60.84-73.08"	1159	438686	2.64	"2.49-2.8"
"75-79"	"F"	2020-05-01	249	6173	40.34	"35.71-45.54"	784	439535	1.78	"1.66-1.91"
"75-79"	"F"	2020-06-01	141	6085	23.17	"19.68-27.26"	749	440954	1.7	"1.58-1.82"
"75-79"	"F"	2020-07-01	131	6161	21.26	"17.95-25.17"	726	442124	1.64	"1.53-1.77"
"75-79"	"F"	2020-08-01	112	6274	17.85	"14.86-21.44"	725	443328	1.64	"1.52-1.76"
"75-79"	"F"	2020-09-01	126	6335	19.89	"16.73-23.63"	742	443986	1.67	"1.56-1.8"
"75-79"	"F"	2020-10-01	162	6401	25.31	"21.74-29.45"	839	445354	1.88	"1.76-2.02"
"75-79"	"F"	2020-11-01	196	6457	30.35	"26.44-34.83"	840	447349	1.88	"1.76-2.01"
"75-79"	"M"	2019-02-01	160	4200	38.1	"32.72-44.32"	967	366384	2.64	"2.48-2.81"
"75-79"	"M"	2019-03-01	144	4222	34.11	"29.04-40.02"	966	368651	2.62	"2.46-2.79"
"75-79"	"M"	2019-04-01	115	4218	27.26	"22.76-32.63"	998	370674	2.69	"2.53-2.86"
"75-79"	"M"	2019-05-01	117	4271	27.39	"22.91-32.73"	926	372834	2.48	"2.33-2.65"
"75-79"	"M"	2019-06-01	149	4334	34.38	"29.35-40.23"	947	375077	2.52	"2.37-2.69"
"75-79"	"M"	2019-07-01	126	4394	28.68	"24.14-34.04"	965	377094	2.56	"2.4-2.73"
"75-79"	"M"	2019-08-01	136	4473	30.4	"25.76-35.85"	892	378644	2.36	"2.21-2.52"
"75-79"	"M"	2019-09-01	138	4518	30.54	"25.91-35.97"	915	380471	2.4	"2.25-2.57"
"75-79"	"M"	2019-10-01	160	4531	35.31	"30.32-41.09"	1018	382347	2.66	"2.5-2.83"
"75-79"	"M"	2019-11-01	180	4573	39.36	"34.1-45.39"	1111	384309	2.89	"2.73-3.07"
"75-79"	"M"	2019-12-01	199	4588	43.37	"37.85-49.66"	1222	386684	3.16	"2.99-3.34"
"75-79"	"M"	2020-01-01	209	4542	46.01	"40.3-52.5"	1174	387877	3.03	"2.86-3.2"
"75-79"	"M"	2020-02-01	160	4554	35.13	"30.17-40.89"	1002	388488	2.58	"2.42-2.74"
"75-79"	"M"	2020-03-01	206	4601	44.77	"39.17-51.14"	1214	389052	3.12	"2.95-3.3"
"75-79"	"M"	2020-04-01	504	4607	109.4	"100.71-118.74"	1680	389549	4.31	"4.11-4.52"
"75-79"	"M"	2020-05-01	268	4317	62.08	"55.26-69.67"	1134	390030	2.91	"2.74-3.08"
"75-79"	"M"	2020-06-01	125	4174	29.95	"25.19-35.57"	939	391400	2.4	"2.25-2.56"
"75-79"	"M"	2020-07-01	136	4284	31.75	"26.9-37.43"	906	392674	2.31	"2.16-2.46"
"75-79"	"M"	2020-08-01	122	4375	27.89	"23.41-33.19"	950	394189	2.41	"2.26-2.57"
"75-79"	"M"	2020-09-01	134	4414	30.36	"25.69-35.84"	950	395058	2.4	"2.26-2.56"
"75-79"	"M"	2020-10-01	174	4479	38.85	"33.57-44.91"	1078	396108	2.72	"2.56-2.89"
"75-79"	"M"	2020-11-01	189	4527	41.75	"36.3-47.98"	1154	397755	2.9	"2.74-3.07"
"80-84"	"F"	2019-02-01	329	11549	28.49	"25.61-31.68"	1086	318045	3.41	"3.22-3.62"
"80-84"	"F"	2019-03-01	273	11547	23.64	"21.03-26.58"	991	318663	3.11	"2.92-3.31"
"80-84"	"F"	2019-04-01	280	11560	24.22	"21.57-27.19"	956	319446	2.99	"2.81-3.19"
"80-84"	"F"	2019-05-01	301	11617	25.91	"23.17-28.96"	997	320470	3.11	"2.92-3.31"
"80-84"	"F"	2019-06-01	281	11792	23.83	"21.23-26.74"	886	321188	2.76	"2.58-2.95"
"80-84"	"F"	2019-07-01	294	11797	24.92	"22.26-27.89"	945	321911	2.94	"2.75-3.13"
"80-84"	"F"	2019-08-01	272	11896	22.86	"20.33-25.71"	866	322563	2.68	"2.51-2.87"
"80-84"	"F"	2019-09-01	296	11944	24.78	"22.14-27.73"	917	323222	2.84	"2.66-3.03"
"80-84"	"F"	2019-10-01	358	11969	29.91	"27.01-33.12"	1031	323545	3.19	"3-3.39"
"80-84"	"F"	2019-11-01	342	11968	28.58	"25.74-31.72"	1058	323658	3.27	"3.08-3.47"
"80-84"	"F"	2019-12-01	398	11956	33.29	"30.22-36.66"	1182	323827	3.65	"3.45-3.86"
"80-84"	"F"	2020-01-01	354	11904	29.74	"26.83-32.94"	1163	324275	3.59	"3.39-3.8"
"80-84"	"F"	2020-02-01	349	12063	28.93	"26.09-32.08"	986	324538	3.04	"2.85-3.23"
"80-84"	"F"	2020-03-01	359	12083	29.71	"26.83-32.89"	1155	324977	3.55	"3.36-3.76"
"80-84"	"F"	2020-04-01	873	12151	71.85	"67.39-76.57"	1533	324945	4.72	"4.49-4.96"
"80-84"	"F"	2020-05-01	496	11674	42.49	"38.98-46.3"	1106	324641	3.41	"3.21-3.61"
"80-84"	"F"	2020-06-01	283	11402	24.82	"22.12-27.84"	899	324127	2.77	"2.6-2.96"
"80-84"	"F"	2020-07-01	262	11456	22.87	"20.29-25.77"	851	323931	2.63	"2.46-2.81"
"80-84"	"F"	2020-08-01	286	11679	24.49	"21.84-27.45"	936	324100	2.89	"2.71-3.08"
"80-84"	"F"	2020-09-01	262	11709	22.38	"19.85-25.22"	866	324707	2.67	"2.5-2.85"
"80-84"	"F"	2020-10-01	340	11774	28.88	"26-32.06"	1018	324596	3.14	"2.95-3.33"
"80-84"	"F"	2020-11-01	380	11808	32.18	"29.15-35.52"	1099	324096	3.39	"3.2-3.6"
"80-84"	"M"	2019-02-01	253	5968	42.39	"37.57-47.81"	1200	257143	4.67	"4.41-4.94"
"80-84"	"M"	2019-03-01	235	5981	39.29	"34.66-44.52"	1191	257711	4.62	"4.37-4.89"
"80-84"	"M"	2019-04-01	243	5975	40.67	"35.95-45.98"	1255	258417	4.86	"4.6-5.13"
"80-84"	"M"	2019-05-01	241	6018	40.05	"35.38-45.3"	1108	259309	4.27	"4.03-4.53"
"80-84"	"M"	2019-06-01	246	6102	40.31	"35.66-45.55"	1006	260069	3.87	"3.64-4.11"
"80-84"	"M"	2019-07-01	210	6129	34.26	"29.99-39.12"	1139	260825	4.37	"4.12-4.63"
"80-84"	"M"	2019-08-01	256	6223	41.14	"36.48-46.36"	1068	261419	4.09	"3.85-4.34"
"80-84"	"M"	2019-09-01	241	6298	38.27	"33.8-43.29"	1030	262151	3.93	"3.7-4.18"
"80-84"	"M"	2019-10-01	292	6243	46.77	"41.81-52.29"	1170	262289	4.46	"4.21-4.72"
"80-84"	"M"	2019-11-01	294	6285	46.78	"41.83-52.28"	1252	262453	4.77	"4.51-5.04"
"80-84"	"M"	2019-12-01	329	6212	52.96	"47.66-58.81"	1401	262767	5.33	"5.06-5.62"
"80-84"	"M"	2020-01-01	327	6181	52.9	"47.6-58.77"	1347	262756	5.13	"4.86-5.41"
"80-84"	"M"	2020-02-01	273	6244	43.72	"38.92-49.08"	1147	263002	4.36	"4.12-4.62"
"80-84"	"M"	2020-03-01	360	6297	57.17	"51.7-63.18"	1401	263488	5.32	"5.05-5.6"
"80-84"	"M"	2020-04-01	831	6317	131.55	"123.44-140.11"	1951	263565	7.4	"7.08-7.74"
"80-84"	"M"	2020-05-01	422	5793	72.85	"66.43-79.83"	1296	262974	4.93	"4.67-5.2"
"80-84"	"M"	2020-06-01	213	5644	37.74	"33.07-43.03"	1090	262454	4.15	"3.91-4.41"
"80-84"	"M"	2020-07-01	206	5677	36.29	"31.73-41.47"	1040	262399	3.96	"3.73-4.21"
"80-84"	"M"	2020-08-01	226	5860	38.57	"33.93-43.81"	1098	262656	4.18	"3.94-4.43"
"80-84"	"M"	2020-09-01	232	5897	39.34	"34.67-44.61"	1117	263315	4.24	"4-4.5"
"80-84"	"M"	2020-10-01	273	5912	46.18	"41.12-51.83"	1204	263261	4.57	"4.32-4.84"
"80-84"	"M"	2020-11-01	321	5956	53.9	"48.44-59.92"	1394	262963	5.3	"5.03-5.59"
"85-89"	"F"	2019-02-01	549	17453	31.46	"28.97-34.15"	1232	200722	6.14	"5.81-6.49"
"85-89"	"F"	2019-03-01	509	17529	29.04	"26.65-31.63"	1151	200846	5.73	"5.41-6.07"
"85-89"	"F"	2019-04-01	546	17522	31.16	"28.69-33.84"	1200	201032	5.97	"5.64-6.32"
"85-89"	"F"	2019-05-01	463	17541	26.4	"24.12-28.87"	1107	201333	5.5	"5.18-5.83"
"85-89"	"F"	2019-06-01	447	17719	25.23	"23.02-27.64"	991	201642	4.91	"4.62-5.23"
"85-89"	"F"	2019-07-01	465	17860	26.04	"23.8-28.48"	993	201906	4.92	"4.62-5.23"
"85-89"	"F"	2019-08-01	509	18091	28.14	"25.82-30.65"	1061	202139	5.25	"4.94-5.57"
"85-89"	"F"	2019-09-01	479	18250	26.25	"24.02-28.67"	993	202391	4.91	"4.61-5.22"
"85-89"	"F"	2019-10-01	584	18271	31.96	"29.51-34.61"	1084	202457	5.35	"5.05-5.68"
"85-89"	"F"	2019-11-01	634	18330	34.59	"32.04-37.33"	1161	202774	5.73	"5.41-6.06"
"85-89"	"F"	2019-12-01	707	18336	38.56	"35.87-41.44"	1306	203072	6.43	"6.09-6.79"
"85-89"	"F"	2020-01-01	647	18237	35.48	"32.89-38.26"	1360	202857	6.7	"6.36-7.07"
"85-89"	"F"	2020-02-01	614	18356	33.45	"30.94-36.15"	1161	202437	5.74	"5.42-6.07"
"85-89"	"F"	2020-03-01	660	18336	35.99	"33.39-38.79"	1282	202640	6.33	"5.99-6.68"
"85-89"	"F"	2020-04-01	1420	18367	77.31	"73.54-81.26"	1764	202340	8.72	"8.32-9.13"
"85-89"	"F"	2020-05-01	822	17530	46.89	"43.86-50.12"	1237	201986	6.12	"5.79-6.47"
"85-89"	"F"	2020-06-01	445	17174	25.91	"23.64-28.4"	1054	202337	5.21	"4.9-5.53"
"85-89"	"F"	2020-07-01	430	17197	25	"22.77-27.45"	971	202391	4.8	"4.51-5.11"
"85-89"	"F"	2020-08-01	448	17479	25.63	"23.39-28.08"	951	202746	4.69	"4.4-5"
"85-89"	"F"	2020-09-01	438	17546	24.96	"22.76-27.38"	947	202984	4.67	"4.38-4.97"
"85-89"	"F"	2020-10-01	568	17611	32.25	"29.74-34.97"	1085	203105	5.34	"5.03-5.67"
"85-89"	"F"	2020-11-01	638	17687	36.07	"33.42-38.92"	1275	203343	6.27	"5.94-6.62"
"85-89"	"M"	2019-02-01	347	6808	50.97	"45.99-56.45"	1147	138858	8.26	"7.8-8.75"
"85-89"	"M"	2019-03-01	302	6838	44.16	"39.55-49.3"	1018	139268	7.31	"6.88-7.77"
"85-89"	"M"	2019-04-01	322	6871	46.86	"42.11-52.12"	1068	139820	7.64	"7.2-8.11"
"85-89"	"M"	2019-05-01	333	6921	48.11	"43.32-53.41"	1099	140331	7.83	"7.38-8.31"
"85-89"	"M"	2019-06-01	321	7024	45.7	"41.06-50.84"	997	140594	7.09	"6.67-7.54"
"85-89"	"M"	2019-07-01	307	7060	43.48	"38.97-48.5"	1013	141093	7.18	"6.75-7.63"
"85-89"	"M"	2019-08-01	307	7104	43.22	"38.73-48.2"	951	141556	6.72	"6.31-7.16"
"85-89"	"M"	2019-09-01	309	7196	42.94	"38.5-47.87"	998	142023	7.03	"6.61-7.47"
"85-89"	"M"	2019-10-01	395	7263	54.39	"49.4-59.84"	1058	142344	7.43	"7-7.89"
"85-89"	"M"	2019-11-01	408	7227	56.45	"51.37-62.02"	1150	142866	8.05	"7.6-8.53"
"85-89"	"M"	2019-12-01	427	7192	59.37	"54.14-65.07"	1276	143225	8.91	"8.44-9.41"
"85-89"	"M"	2020-01-01	419	7135	58.72	"53.5-64.42"	1271	143382	8.86	"8.39-9.36"
"85-89"	"M"	2020-02-01	380	7123	53.35	"48.37-58.81"	1184	143258	8.26	"7.81-8.75"
"85-89"	"M"	2020-03-01	432	7156	60.37	"55.08-66.13"	1373	143631	9.56	"9.07-10.08"
"85-89"	"M"	2020-04-01	994	7148	139.06	"131.23-147.28"	1916	143562	13.35	"12.77-13.95"
"85-89"	"M"	2020-05-01	529	6544	80.84	"74.48-87.69"	1219	143176	8.51	"8.05-9"
"85-89"	"M"	2020-06-01	282	6287	44.85	"40.01-50.25"	1026	143609	7.14	"6.72-7.59"
"85-89"	"M"	2020-07-01	221	6321	34.96	"30.71-39.78"	949	143968	6.59	"6.19-7.02"
"85-89"	"M"	2020-08-01	277	6524	42.46	"37.83-47.63"	926	144395	6.41	"6.01-6.84"
"85-89"	"M"	2020-09-01	293	6595	44.43	"39.71-49.67"	953	144842	6.58	"6.18-7.01"
"85-89"	"M"	2020-10-01	348	6587	52.83	"47.69-58.5"	1163	145224	8.01	"7.56-8.48"
"85-89"	"M"	2020-11-01	399	6646	60.04	"54.58-66.01"	1325	145333	9.12	"8.64-9.62"
"90+"	"F"	2019-02-01	1049	26797	39.15	"36.89-41.54"	1530	117148	13.06	"12.43-13.73"
"90+"	"F"	2019-03-01	1007	26879	37.46	"35.26-39.8"	1379	117173	11.77	"11.17-12.4"
"90+"	"F"	2019-04-01	946	26988	35.05	"32.92-37.31"	1392	117222	11.87	"11.27-12.51"
"90+"	"F"	2019-05-01	1020	27270	37.4	"35.22-39.72"	1338	117662	11.37	"10.78-11.99"
"90+"	"F"	2019-06-01	916	27607	33.18	"31.13-35.36"	1246	117738	10.58	"10.01-11.18"
"90+"	"F"	2019-07-01	962	27866	34.52	"32.44-36.73"	1197	117942	10.15	"9.59-10.74"
"90+"	"F"	2019-08-01	923	28171	32.76	"30.75-34.91"	1218	118247	10.3	"9.74-10.89"
"90+"	"F"	2019-09-01	918	28490	32.22	"30.23-34.34"	1204	118628	10.15	"9.59-10.74"
"90+"	"F"	2019-10-01	1171	28610	40.93	"38.69-43.29"	1396	118644	11.77	"11.17-12.4"
"90+"	"F"	2019-11-01	1176	28757	40.89	"38.67-43.25"	1426	118451	12.04	"11.43-12.68"
"90+"	"F"	2019-12-01	1350	28793	46.89	"44.5-49.39"	1696	118439	14.32	"13.66-15.01"
"90+"	"F"	2020-01-01	1282	28700	44.67	"42.34-47.12"	1731	118332	14.63	"13.96-15.33"
"90+"	"F"	2020-02-01	1137	28628	39.72	"37.52-42.04"	1456	117799	12.36	"11.74-13.01"
"90+"	"F"	2020-03-01	1233	28848	42.74	"40.47-45.14"	1631	118088	13.81	"13.16-14.49"
"90+"	"F"	2020-04-01	2403	28995	82.88	"79.76-86.11"	2153	117740	18.29	"17.54-19.07"
"90+"	"F"	2020-05-01	1644	27785	59.17	"56.45-62"	1572	117400	13.39	"12.75-14.06"
"90+"	"F"	2020-06-01	907	27106	33.46	"31.39-35.67"	1241	117608	10.55	"9.98-11.15"
"90+"	"F"	2020-07-01	862	27271	31.61	"29.6-33.75"	1229	117824	10.43	"9.87-11.03"
"90+"	"F"	2020-08-01	922	27850	33.11	"31.07-35.27"	1240	118245	10.49	"9.92-11.08"
"90+"	"F"	2020-09-01	900	28019	32.12	"30.12-34.25"	1215	118577	10.25	"9.69-10.84"
"90+"	"F"	2020-10-01	1058	28280	37.41	"35.26-39.69"	1422	118673	11.98	"11.38-12.62"
"90+"	"F"	2020-11-01	1230	28500	43.16	"40.86-45.58"	1555	119002	13.07	"12.44-13.73"
"90+"	"M"	2019-02-01	463	6952	66.6	"60.97-72.7"	958	60272	15.89	"14.93-16.92"
"90+"	"M"	2019-03-01	359	6936	51.76	"46.79-57.23"	932	60417	15.43	"14.47-16.44"
"90+"	"M"	2019-04-01	407	7019	57.99	"52.76-63.7"	935	60524	15.45	"14.5-16.46"
"90+"	"M"	2019-05-01	383	7059	54.26	"49.21-59.79"	864	60938	14.18	"13.27-15.15"
"90+"	"M"	2019-06-01	351	7156	49.05	"44.28-54.3"	728	61227	11.89	"11.06-12.78"
"90+"	"M"	2019-07-01	379	7234	52.39	"47.49-57.77"	757	61604	12.29	"11.45-13.19"
"90+"	"M"	2019-08-01	381	7364	51.74	"46.91-57.03"	790	61853	12.77	"11.92-13.69"
"90+"	"M"	2019-09-01	391	7426	52.65	"47.8-57.97"	819	62220	13.16	"12.3-14.09"
"90+"	"M"	2019-10-01	435	7476	58.19	"53.1-63.72"	926	62332	14.86	"13.94-15.84"
"90+"	"M"	2019-11-01	480	7524	63.8	"58.49-69.54"	977	62325	15.68	"14.73-16.68"
"90+"	"M"	2019-12-01	514	7490	68.62	"63.12-74.57"	1115	62388	17.87	"16.86-18.94"
"90+"	"M"	2020-01-01	520	7459	69.71	"64.15-75.72"	1105	62433	17.7	"16.69-18.76"
"90+"	"M"	2020-02-01	467	7495	62.31	"57.06-68.01"	930	62129	14.97	"14.04-15.95"
"90+"	"M"	2020-03-01	534	7525	70.96	"65.38-76.99"	1138	62533	18.2	"17.18-19.28"
"90+"	"M"	2020-04-01	1055	7560	139.55	"131.92-147.54"	1519	62440	24.33	"23.15-25.57"
"90+"	"M"	2020-05-01	637	6921	92.04	"85.45-99.08"	1085	62223	17.44	"16.44-18.5"
"90+"	"M"	2020-06-01	358	6565	54.53	"49.29-60.29"	782	62522	12.51	"11.67-13.41"
"90+"	"M"	2020-07-01	309	6562	47.09	"42.22-52.48"	743	62916	11.81	"10.99-12.68"
"90+"	"M"	2020-08-01	359	6766	53.06	"47.97-58.66"	749	63489	11.8	"10.99-12.67"
"90+"	"M"	2020-09-01	346	6835	50.62	"45.67-56.08"	789	63896	12.35	"11.52-13.23"
"90+"	"M"	2020-10-01	431	6905	62.42	"56.95-68.37"	988	64152	15.4	"14.48-16.38"
"90+"	"M"	2020-11-01	488	6933	70.39	"64.6-76.65"	1083	64447	16.8	"15.84-17.83"
