"Age"	"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	"F"	2019-02-01	118	4841	24.38	"20.39-29.11"	1061	1199110	0.88	"0.83-0.94"
"65-74"	"F"	2019-03-01	91	4827	18.85	"15.38-23.09"	1019	1199409	0.85	"0.8-0.9"
"65-74"	"F"	2019-04-01	109	4874	22.36	"18.57-26.91"	1034	1199396	0.86	"0.81-0.92"
"65-74"	"F"	2019-05-01	74	4907	15.08	"12.03-18.89"	1018	1200121	0.85	"0.8-0.9"
"65-74"	"F"	2019-06-01	78	4958	15.73	"12.62-19.59"	999	1200331	0.83	"0.78-0.89"
"65-74"	"F"	2019-07-01	90	4986	18.05	"14.71-22.13"	983	1200404	0.82	"0.77-0.87"
"65-74"	"F"	2019-08-01	103	5056	20.37	"16.83-24.65"	1004	1201441	0.84	"0.79-0.89"
"65-74"	"F"	2019-09-01	102	5110	19.96	"16.47-24.17"	987	1202117	0.82	"0.77-0.87"
"65-74"	"F"	2019-10-01	118	5106	23.11	"19.33-27.6"	1012	1202094	0.84	"0.79-0.9"
"65-74"	"F"	2019-11-01	122	5155	23.67	"19.86-28.18"	1058	1202564	0.88	"0.83-0.93"
"65-74"	"F"	2019-12-01	113	5153	21.93	"18.27-26.3"	1221	1202847	1.02	"0.96-1.07"
"65-74"	"F"	2020-01-01	121	5151	23.49	"19.7-28"	1176	1203641	0.98	"0.92-1.03"
"65-74"	"F"	2020-02-01	109	5220	20.88	"17.34-25.13"	1034	1204013	0.86	"0.81-0.91"
"65-74"	"F"	2020-03-01	142	5282	26.88	"22.85-31.6"	1195	1205640	0.99	"0.94-1.05"
"65-74"	"F"	2020-04-01	274	5277	51.92	"46.26-58.24"	1428	1206646	1.18	"1.12-1.25"
"65-74"	"F"	2020-05-01	148	5176	28.59	"24.39-33.5"	1142	1207192	0.95	"0.89-1"
"65-74"	"F"	2020-06-01	88	5132	17.15	"13.94-21.08"	1028	1208125	0.85	"0.8-0.9"
"65-74"	"F"	2020-07-01	85	5201	16.34	"13.24-20.16"	978	1208947	0.81	"0.76-0.86"
"65-74"	"F"	2020-08-01	107	5309	20.15	"16.71-24.3"	941	1210208	0.78	"0.73-0.83"
"65-74"	"F"	2020-09-01	99	5364	18.46	"15.18-22.42"	953	1211027	0.79	"0.74-0.84"
"65-74"	"F"	2020-10-01	116	5376	21.58	"18.02-25.82"	1060	1211772	0.87	"0.82-0.93"
"65-74"	"F"	2020-11-01	113	5424	20.83	"17.36-24.99"	1098	1212367	0.91	"0.85-0.96"
"65-74"	"M"	2019-02-01	136	4727	28.77	"24.37-33.93"	1556	1133161	1.37	"1.31-1.44"
"65-74"	"M"	2019-03-01	121	4757	25.44	"21.33-30.31"	1511	1133241	1.33	"1.27-1.4"
"65-74"	"M"	2019-04-01	141	4737	29.77	"25.29-35"	1520	1132995	1.34	"1.28-1.41"
"65-74"	"M"	2019-05-01	98	4733	20.71	"17.02-25.17"	1431	1133677	1.26	"1.2-1.33"
"65-74"	"M"	2019-06-01	130	4782	27.19	"22.94-32.19"	1414	1133832	1.25	"1.18-1.31"
"65-74"	"M"	2019-07-01	107	4805	22.27	"18.46-26.84"	1419	1134005	1.25	"1.19-1.32"
"65-74"	"M"	2019-08-01	113	4857	23.27	"19.39-27.9"	1424	1134715	1.25	"1.19-1.32"
