"Date"	"Age"	"Gender"	"Care_or_Nursing_Home_Mortality_Rate"	"Private_Home_Mortality_Rate"	"Relative_Risk"	"Relative_Risk_CI"	"Risk_Difference"	"Risk_Difference_CI"
2019-02-01	"65-74"	"F"	24.38	0.88	27.55	"22.82-33.25"	23.49	"19.15-27.83"
2019-03-01	"65-74"	"F"	18.85	0.85	22.19	"17.94-27.45"	18	"14.17-21.84"
2019-04-01	"65-74"	"F"	22.36	0.86	25.94	"21.34-31.54"	21.5	"17.35-25.65"
2019-05-01	"65-74"	"F"	15.08	0.85	17.78	"14.06-22.47"	14.23	"10.82-17.64"
2019-06-01	"65-74"	"F"	15.73	0.83	18.9	"15.04-23.76"	14.9	"11.44-18.36"
2019-07-01	"65-74"	"F"	18.05	0.82	22.04	"17.8-27.3"	17.23	"13.54-20.93"
2019-08-01	"65-74"	"F"	20.37	0.84	24.38	"19.94-29.8"	19.54	"15.64-23.43"
2019-09-01	"65-74"	"F"	19.96	0.82	24.31	"19.86-29.75"	19.14	"15.3-22.97"
2019-10-01	"65-74"	"F"	23.11	0.84	27.45	"22.73-33.15"	22.27	"18.15-26.39"
2019-11-01	"65-74"	"F"	23.67	0.88	26.9	"22.35-32.38"	22.79	"18.64-26.94"
2019-12-01	"65-74"	"F"	21.93	1.02	21.6	"17.85-26.14"	20.91	"16.92-24.91"
2020-01-01	"65-74"	"F"	23.49	0.98	24.04	"19.98-28.93"	22.51	"18.38-26.65"
2020-02-01	"65-74"	"F"	20.88	0.86	24.31	"20-29.56"	20.02	"16.14-23.9"
2020-03-01	"65-74"	"F"	26.88	0.99	27.12	"22.84-32.21"	25.89	"21.53-30.25"
2020-04-01	"65-74"	"F"	51.92	1.18	43.87	"38.66-49.79"	50.74	"44.75-56.73"
2020-05-01	"65-74"	"F"	28.59	0.95	30.23	"25.52-35.79"	27.65	"23.11-32.19"
2020-06-01	"65-74"	"F"	17.15	0.85	20.15	"16.24-25.01"	16.3	"12.74-19.85"
2020-07-01	"65-74"	"F"	16.34	0.81	20.2	"16.21-25.17"	15.53	"12.09-18.98"
2020-08-01	"65-74"	"F"	20.15	0.78	25.92	"21.26-31.6"	19.38	"15.6-23.16"
2020-09-01	"65-74"	"F"	18.46	0.79	23.45	"19.1-28.8"	17.67	"14.07-21.27"
2020-10-01	"65-74"	"F"	21.58	0.87	24.67	"20.4-29.82"	20.7	"16.82-24.59"
2020-11-01	"65-74"	"F"	20.83	0.91	23	"18.99-27.87"	19.93	"16.13-23.73"
2019-02-01	"65-74"	"M"	28.77	1.37	20.95	"17.63-24.91"	27.4	"22.63-32.16"
