"Age"	"Gender"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	"F"	2020-03-01	6	5282	1.14	"0.52-2.48"	77	1205640	0.06	"0.05-0.08"
"65-74"	"F"	2020-04-01	115	5277	21.79	"18.19-26.09"	415	1206646	0.34	"0.31-0.38"
"65-74"	"F"	2020-05-01	56	5176	10.82	"8.34-14.02"	160	1207192	0.13	"0.11-0.15"
"65-74"	"F"	2020-06-01	14	5132	2.73	"1.63-4.57"	53	1208125	0.04	"0.03-0.06"
"65-74"	"F"	2020-07-01	10	5201	1.92	"1.04-3.54"	28	1208947	0.02	"0.02-0.03"
"65-74"	"F"	2020-08-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	10	1210208	0.01	"0-0.02"
"65-74"	"F"	2020-09-01	[REDACTED]	[REDACTED] [REDACTED]	[REDACTED]	10	1211027	0.01	"0-0.02"
"65-74"	"F"	2020-10-01	13	5376	2.42	"1.41-4.13"	89	1211772	0.07	"0.06-0.09"
"65-74"	"F"	2020-11-01	30	5424	5.53	"3.88-7.88"	195	1212367	0.16	"0.14-0.19"
"65-74"	"M"	2020-03-01	11	5054	2.18	"1.22-3.89"	178	1138490	0.16	"0.14-0.18"
"65-74"	"M"	2020-04-01	167	5102	32.73	"28.19-37.98"	839	1139351	0.74	"0.69-0.79"
"65-74"	"M"	2020-05-01	85	4951	17.17	"13.91-21.18"	233	1139227	0.2	"0.18-0.23"
"65-74"	"M"	2020-06-01	11	4886	2.25	"1.26-4.03"	78	1140000	0.07	"0.05-0.09"
"65-74"	"M"	2020-07-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	29	1140637	0.03	"0.02-0.04"
"65-74"	"M"	2020-08-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	9	1141815	0.01	"0-0.01"
"65-74"	"M"	2020-09-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED] 24	1142720	0.02	"0.01-0.03"
"65-74"	"M"	2020-10-01	19	5080	3.74	"2.4-5.83"	170	1143555	0.15	"0.13-0.17"
"65-74"	"M"	2020-11-01	45	5094	8.83	"6.61-11.8"	430	1144460	0.38	"0.34-0.41"
"75-79"	"F"	2020-03-01	7	6320	1.11	"0.54-2.28"	62	438187	0.14	"0.11-0.18"
"75-79"	"F"	2020-04-01	181	6387	28.34	"24.54-32.7"	352	438686	0.8	"0.72-0.89"
"75-79"	"F"	2020-05-01	99	6173	16.04	"13.19-19.49"	114	439535	0.26	"0.22-0.31"
"75-79"	"F"	2020-06-01	20	6085	3.29	"2.13-5.07"	46	440954	0.1	"0.08-0.14"
"75-79"	"F"	2020-07-01	10	6161	1.62	"0.88-2.99"	12	442124	0.03	"0.02-0.05"
"75-79"	"F"	2020-08-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	5	443328	0.01	"0-0.03"
"75-79"	"F"	2020-09-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	8	443986	0.02	"0.01-0.04"
"75-79"	"F"	2020-10-01	12	6401	1.87	"1.07-3.27"	71	445354	0.16	"0.13-0.2"
"75-79"	"F"	2020-11-01	53	6457	8.21	"6.28-10.72"	188	447349	0.42	"0.36-0.48"
"75-79"	"M"	2020-03-01	15	4601	3.26	"1.98-5.37"	124	389052	0.32	"0.27-0.38"
"75-79"	"M"	2020-04-01	268	4607	58.17	"51.77-65.31"	642	389549	1.65	"1.53-1.78"
"75-79"	"M"	2020-05-01	134	4317	31.04	"26.27-36.64"	180	390030	0.46	"0.4-0.53"
"75-79"	"M"	2020-06-01	26	4174	6.23	"4.25-9.11"	62	391400	0.16	"0.12-0.2"
"75-79"	"M"	2020-07-01	7	4284	1.63	"0.79-3.37"	24	392674	0.06	"0.04-0.09"
"75-79"	"M"	2020-08-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	16	394189	0.04	"0.02-0.07"
"75-79"	"M"	2020-09-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	16	395058	0.04	"0.02-0.07"
"75-79"	"M"	2020-10-01	16	4479	3.57	"2.2-5.8"	152	396108	0.38	"0.33-0.45"
"75-79"	"M"	2020-11-01	53	4527	11.71	"8.96-15.28"	314	397755	0.79	"0.71-0.88"
"80-84"	"F"	2020-03-01	17	12083	1.41	"0.88-2.25"	68	324977	0.21	"0.17-0.27"
"80-84"	"F"	2020-04-01	355	12151	29.22	"26.37-32.36"	511	324945	1.57	"1.44-1.71"
"80-84"	"F"	2020-05-01	195	11674	16.7	"14.53-19.19"	217	324641	0.67	"0.59-0.76"
"80-84"	"F"	2020-06-01	50	11402	4.39	"3.33-5.78"	71	324127	0.22	"0.17-0.28"
"80-84"	"F"	2020-07-01	16	11456	1.4	"0.86-2.27"	14	323931	0.04	"0.03-0.07"
"80-84"	"F"	2020-08-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	8	324100	0.02	"0.01-0.05"
"80-84"	"F"	2020-09-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	19	324707	0.06	"0.04-0.09"
"80-84"	"F"	2020-10-01	33	11774	2.8	"2-3.93"	103	324596	0.32	"0.26-0.38"
"80-84"	"F"	2020-11-01	98	11808	8.3	"6.82-10.1"	264	324096	0.81	"0.72-0.92"
"80-84"	"M"	2020-03-01	20	6297	3.18	"2.06-4.9"	159	263488	0.6	"0.52-0.7"
"80-84"	"M"	2020-04-01	406	6317	64.27	"58.48-70.59"	751	263565	2.85	"2.65-3.06"
"80-84"	"M"	2020-05-01	214	5793	36.94	"32.38-42.11"	252	262974	0.96	"0.85-1.08"
"80-84"	"M"	2020-06-01	54	5644	9.57	"7.34-12.46"	88	262454	0.34	"0.27-0.41"
"80-84"	"M"	2020-07-01	12	5677	2.11	"1.21-3.69"	25	262399	0.1	"0.06-0.14"
"80-84"	"M"	2020-08-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	9	262656	0.03	"0.02-0.07"
"80-84"	"M"	2020-09-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	29	263315	0.11	"0.08-0.16"
"80-84"	"M"	2020-10-01	26	5912	4.4	"3-6.44"	153	263261	0.58	"0.5-0.68"
"80-84"	"M"	2020-11-01	107	5956	17.97	"14.89-21.66"	410	262963	1.56	"1.42-1.72"
"85-89"	"F"	2020-03-01	26	18336	1.42	"0.97-2.08"	74	202640	0.37	"0.29-0.46"
"85-89"	"F"	2020-04-01	487	18367	26.51	"24.29-28.94"	495	202340	2.45	"2.24-2.67"
"85-89"	"F"	2020-05-01	283	17530	16.14	"14.38-18.12"	267	201986	1.32	"1.17-1.49"
"85-89"	"F"	2020-06-01	54	17174	3.14	"2.41-4.1"	89	202337	0.44	"0.36-0.54"
"85-89"	"F"	2020-07-01	15	17197	0.87	"0.53-1.44"	18	202391	0.09	"0.06-0.14"
"85-89"	"F"	2020-08-01	13	17479	0.74	"0.43-1.27"	7	202746	0.03	"0.02-0.07"
"85-89"	"F"	2020-09-01	13	17546	0.74	"0.43-1.27"	12	202984	0.06	"0.03-0.1"
"85-89"	"F"	2020-10-01	45	17611	2.56	"1.91-3.42"	96	203105	0.47	"0.39-0.58"
"85-89"	"F"	2020-11-01	158	17687	8.93	"7.65-10.43"	289	203343	1.42	"1.27-1.59"
"85-89"	"M"	2020-03-01	17	7156	2.38	"1.48-3.8"	121	143631	0.84	"0.71-1.01"
"85-89"	"M"	2020-04-01	435	7148	60.86	"55.55-66.64"	767	143562	5.34	"4.98-5.73"
"85-89"	"M"	2020-05-01	224	6544	34.23	"30.09-38.92"	259	143176	1.81	"1.6-2.04"
"85-89"	"M"	2020-06-01	46	6287	7.32	"5.49-9.74"	100	143609	0.7	"0.57-0.85"
"85-89"	"M"	2020-07-01	15	6321	2.37	"1.44-3.91"	23	143968	0.16	"0.11-0.24"
"85-89"	"M"	2020-08-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	8	144395	0.06	"0.03-0.11"
"85-89"	"M"	2020-09-01	12	6595	1.82	"1.04-3.18"	14	144842	0.1	"0.06-0.16"
"85-89"	"M"	2020-10-01	43	6587	6.53	"4.85-8.78"	120	145224	0.83	"0.69-0.99"
"85-89"	"M"	2020-11-01	126	6646	18.96	"15.95-22.53"	374	145333	2.57	"2.33-2.85"
"90+"	"F"	2020-03-01	35	28848	1.21	"0.87-1.69"	55	118088	0.47	"0.36-0.61"
"90+"	"F"	2020-04-01	742	28995	25.59	"23.83-27.47"	571	117740	4.85	"4.47-5.26"
"90+"	"F"	2020-05-01	530	27785	19.08	"17.53-20.75"	310	117400	2.64	"2.36-2.95"
"90+"	"F"	2020-06-01	112	27106	4.13	"3.44-4.97"	92	117608	0.78	"0.64-0.96"
"90+"	"F"	2020-07-01	26	27271	0.95	"0.65-1.4"	24	117824	0.2	"0.14-0.3"
"90+"	"F"	2020-08-01	13	27850	0.47	"0.27-0.8"	10	118245	0.08	"0.05-0.16"
"90+"	"F"	2020-09-01	15	28019	0.54	"0.32-0.88"	15	118577	0.13	"0.08-0.21"
"90+"	"F"	2020-10-01	77	28280	2.72	"2.18-3.4"	95	118673	0.8	"0.65-0.98"
"90+"	"F"	2020-11-01	296	28500	10.39	"9.27-11.63"	297	119002	2.5	"2.23-2.8"
"90+"	"M"	2020-03-01	25	7525	3.32	"2.25-4.9"	67	62533	1.07	"0.84-1.36"
"90+"	"M"	2020-04-01	434	7560	57.41	"52.39-62.88"	513	62440	8.22	"7.54-8.95"
"90+"	"M"	2020-05-01	261	6921	37.71	"33.47-42.46"	241	62223	3.87	"3.41-4.39"
"90+"	"M"	2020-06-01	59	6565	8.99	"6.97-11.57"	81	62522	1.3	"1.04-1.61"
"90+"	"M"	2020-07-01	15	6562	2.29	"1.39-3.77"	12	62916	0.19	"0.11-0.33"
"90+"	"M"	2020-08-01	7	6766	1.03	"0.5-2.13"	[REDACTED] [REDACTED] [REDACTED] [REDACTED]
"90+"	"M"	2020-09-01	[REDACTED] [REDACTED] [REDACTED] [REDACTED]	10	63896	0.16	"0.09-0.29"
"90+"	"M"	2020-10-01	36	6905	5.21	"3.77-7.21"	105	64152	1.64	"1.35-1.98"
"90+"	"M"	2020-11-01	148	6933	21.35	"18.2-25.02"	272	64447	4.22	"3.75-4.75"
