"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"75-79"	2019-07-01	261	10442	25	"22.17-28.17"	1682	803604	2.09	"2-2.2"
"75-79"	2019-08-01	251	10555	23.78	"21.04-26.86"	1599	806534	1.98	"1.89-2.08"
"75-79"	2019-09-01	276	10666	25.88	"23.03-29.06"	1645	809967	2.03	"1.94-2.13"
"75-79"	2019-10-01	315	10678	29.5	"26.46-32.88"	1799	813714	2.21	"2.11-2.32"
"75-79"	2019-11-01	363	10817	33.56	"30.33-37.12"	1895	817499	2.32	"2.22-2.42"
"75-79"	2019-12-01	399	10806	36.92	"33.53-40.65"	2160	822279	2.63	"2.52-2.74"
"75-79"	2020-01-01	394	10782	36.54	"33.16-40.25"	2110	824624	2.56	"2.45-2.67"
"75-79"	2020-02-01	319	10858	29.38	"26.37-32.73"	1764	825905	2.14	"2.04-2.24"
"75-79"	2020-03-01	373	10921	34.15	"30.91-37.73"	1955	827239	2.36	"2.26-2.47"
"75-79"	2020-04-01	481	10994	43.75	"40.08-47.74"	1845	828235	2.23	"2.13-2.33"
"75-79"	2020-05-01	284	10490	27.07	"24.14-30.36"	1624	829565	1.96	"1.86-2.06"
"75-79"	2020-06-01	220	10259	21.44	"18.82-24.43"	1580	832354	1.9	"1.81-1.99"
"75-79"	2020-07-01	250	10445	23.93	"21.17-27.05"	1596	834798	1.91	"1.82-2.01"
"75-79"	2020-08-01	228	10649	21.41	"18.83-24.34"	1654	837517	1.97	"1.88-2.07"
"75-79"	2020-09-01	256	10749	23.82	"21.1-26.87"	1668	839044	1.99	"1.89-2.09"
"75-79"	2020-10-01	308	10880	28.31	"25.35-31.6"	1694	841462	2.01	"1.92-2.11"
"75-79"	2020-11-01	279	10984	25.4	"22.62-28.51"	1492	845104	1.77	"1.68-1.86"
"80-84"	2019-02-01	582	17517	33.22	"30.67-35.98"	2286	575188	3.97	"3.82-4.14"
"80-84"	2019-03-01	508	17528	28.98	"26.6-31.57"	2182	576374	3.79	"3.63-3.95"
"80-84"	2019-04-01	523	17535	29.83	"27.41-32.45"	2211	577863	3.83	"3.67-3.99"
"80-84"	2019-05-01	542	17635	30.73	"28.29-33.39"	2105	579779	3.63	"3.48-3.79"
"80-84"	2019-06-01	527	17894	29.45	"27.07-32.03"	1892	581257	3.26	"3.11-3.4"
"80-84"	2019-07-01	504	17926	28.12	"25.79-30.64"	2084	582736	3.58	"3.43-3.73"
"80-84"	2019-08-01	528	18119	29.14	"26.79-31.69"	1934	583982	3.31	"3.17-3.46"
"80-84"	2019-09-01	537	18242	29.44	"27.08-31.99"	1947	585373	3.33	"3.18-3.48"
"80-84"	2019-10-01	650	18212	35.69	"33.09-38.48"	2201	585834	3.76	"3.6-3.92"
"80-84"	2019-11-01	636	18253	34.84	"32.28-37.6"	2310	586111	3.94	"3.78-4.1"
"80-84"	2019-12-01	727	18168	40.02	"37.26-42.96"	2583	586594	4.4	"4.24-4.58"
"80-84"	2020-01-01	681	18085	37.66	"34.98-40.53"	2510	587031	4.28	"4.11-4.45"
"80-84"	2020-02-01	622	18307	33.98	"31.45-36.7"	2133	587540	3.63	"3.48-3.79"
"80-84"	2020-03-01	682	18380	37.11	"34.47-39.94"	2329	588465	3.96	"3.8-4.12"
"80-84"	2020-04-01	943	18468	51.06	"47.98-54.33"	2222	588510	3.78	"3.62-3.94"
"80-84"	2020-05-01	509	17467	29.14	"26.75-31.74"	1933	587615	3.29	"3.15-3.44"
"80-84"	2020-06-01	392	17046	23	"20.85-25.36"	1830	586581	3.12	"2.98-3.27"
"80-84"	2020-07-01	440	17133	25.68	"23.42-28.16"	1852	586330	3.16	"3.02-3.31"
"80-84"	2020-08-01	504	17539	28.74	"26.36-31.31"	2017	586756	3.44	"3.29-3.59"
"80-84"	2020-09-01	486	17606	27.6	"25.29-30.13"	1935	588022	3.29	"3.15-3.44"
"80-84"	2020-10-01	554	17686	31.32	"28.86-33.99"	1966	587857	3.34	"3.2-3.5"
"80-84"	2020-11-01	496	17764	27.92	"25.6-30.45"	1819	587059	3.1	"2.96-3.24"
"85-89"	2019-02-01	896	24261	36.93	"34.63-39.38"	2379	339580	7.01	"6.73-7.29"
"85-89"	2019-03-01	811	24367	33.28	"31.1-35.61"	2169	340114	6.38	"6.12-6.65"
"85-89"	2019-04-01	868	24393	35.58	"33.33-37.98"	2268	340852	6.65	"6.39-6.93"
"85-89"	2019-05-01	796	24462	32.54	"30.39-34.84"	2206	341664	6.46	"6.19-6.73"
"85-89"	2019-06-01	768	24743	31.04	"28.95-33.27"	1988	342236	5.81	"5.56-6.07"
"85-89"	2019-07-01	772	24920	30.98	"28.9-33.2"	2006	342999	5.85	"5.6-6.11"
"85-89"	2019-08-01	816	25195	32.39	"30.27-34.65"	2012	343695	5.85	"5.6-6.11"
"85-89"	2019-09-01	788	25446	30.97	"28.91-33.17"	1991	344414	5.78	"5.53-6.04"
"85-89"	2019-10-01	979	25534	38.34	"36.05-40.77"	2142	344801	6.21	"5.96-6.48"
"85-89"	2019-11-01	1042	25557	40.77	"38.42-43.27"	2311	345640	6.69	"6.42-6.96"
"85-89"	2019-12-01	1134	25528	44.42	"41.96-47.02"	2582	346297	7.46	"7.17-7.75"
"85-89"	2020-01-01	1066	25372	42.01	"39.61-44.55"	2631	346239	7.6	"7.31-7.89"
"85-89"	2020-02-01	994	25479	39.01	"36.7-41.46"	2345	345695	6.78	"6.52-7.06"
"85-89"	2020-03-01	1049	25492	41.15	"38.78-43.66"	2460	346271	7.1	"6.83-7.39"
"85-89"	2020-04-01	1492	25515	58.48	"55.66-61.42"	2418	345902	6.99	"6.72-7.27"
"85-89"	2020-05-01	844	24074	35.06	"32.81-37.46"	1930	345162	5.59	"5.35-5.85"
"85-89"	2020-06-01	627	23461	26.73	"24.74-28.87"	1891	345946	5.47	"5.23-5.72"
"85-89"	2020-07-01	621	23518	26.41	"24.43-28.53"	1879	346359	5.43	"5.19-5.68"
"85-89"	2020-08-01	708	24003	29.5	"27.43-31.71"	1862	347141	5.36	"5.13-5.61"
"85-89"	2020-09-01	706	24141	29.24	"27.19-31.45"	1874	347826	5.39	"5.15-5.64"
"85-89"	2020-10-01	828	24198	34.22	"32-36.58"	2032	348329	5.83	"5.59-6.09"
"85-89"	2020-11-01	753	24333	30.95	"28.84-33.2"	1937	348676	5.56	"5.31-5.81"
"90+"	2019-02-01	1512	33749	44.8	"42.65-47.06"	2488	177420	14.02	"13.49-14.58"
"90+"	2019-03-01	1366	33815	40.4	"38.35-42.55"	2311	177590	13.01	"12.5-13.55"
"90+"	2019-04-01	1353	34007	39.79	"37.76-41.92"	2327	177746	13.09	"12.57-13.63"
"90+"	2019-05-01	1403	34329	40.87	"38.83-43.02"	2202	178600	12.33	"11.83-12.85"
"90+"	2019-06-01	1267	34763	36.45	"34.53-38.47"	1974	178965	11.03	"10.56-11.52"
"90+"	2019-07-01	1341	35100	38.21	"36.25-40.26"	1954	179546	10.88	"10.41-11.37"
"90+"	2019-08-01	1304	35535	36.7	"34.79-38.7"	2008	180100	11.15	"10.67-11.64"
"90+"	2019-09-01	1309	35916	36.45	"34.56-38.43"	2023	180848	11.19	"10.71-11.68"
"90+"	2019-10-01	1606	36086	44.5	"42.43-46.68"	2322	180976	12.83	"12.32-13.36"
"90+"	2019-11-01	1656	36281	45.64	"43.54-47.84"	2403	180776	13.29	"12.78-13.83"
"90+"	2019-12-01	1864	36283	51.37	"49.15-53.69"	2811	180827	15.55	"14.99-16.13"
"90+"	2020-01-01	1802	36159	49.84	"47.64-52.13"	2836	180765	15.69	"15.13-16.27"
"90+"	2020-02-01	1604	36123	44.4	"42.33-46.58"	2386	179928	13.26	"12.74-13.8"
"90+"	2020-03-01	1707	36373	46.93	"44.8-49.15"	2647	180621	14.65	"14.11-15.22"
"90+"	2020-04-01	2282	36555	62.43	"59.99-64.95"	2588	180180	14.36	"13.82-14.92"
"90+"	2020-05-01	1490	34706	42.93	"40.85-45.12"	2106	179623	11.72	"11.24-12.23"
"90+"	2020-06-01	1094	33671	32.49	"30.65-34.44"	1850	180130	10.27	"9.82-10.75"
"90+"	2020-07-01	1130	33833	33.4	"31.54-35.37"	1936	180740	10.71	"10.25-11.2"
"90+"	2020-08-01	1261	34616	36.43	"34.51-38.45"	1975	181734	10.87	"10.4-11.35"
"90+"	2020-09-01	1226	34854	35.18	"33.29-37.16"	1979	182473	10.85	"10.38-11.33"
"90+"	2020-10-01	1376	35185	39.11	"37.13-41.18"	2210	182825	12.09	"11.6-12.6"
"90+"	2020-11-01	1274	35433	35.96	"34.07-37.94"	2069	183449	11.28	"10.81-11.77"
