"Age"	"Date"	"Care_or_Nursing_Home_n"	"Care_or_Nursing_Home_N"	"Care_or_Nursing_Home_Mortality_Rate"	"Care_or_Nursing_Home_Confidence_Interval"	"Private_Home_n"	"Private_Home_N"	"Private_Home_Mortality_Rate"	"Private_Home_Confidence_Interval"
"65-74"	2019-02-01	254	9568	26.55	"23.51-29.96"	2617	2332271	1.12	"1.08-1.17"
"65-74"	2019-03-01	212	9584	22.12	"19.36-25.26"	2530	2332650	1.08	"1.04-1.13"
"65-74"	2019-04-01	250	9611	26.01	"23.01-29.39"	2554	2332391	1.1	"1.05-1.14"
"65-74"	2019-05-01	172	9640	17.84	"15.39-20.68"	2449	2333798	1.05	"1.01-1.09"
"65-74"	2019-06-01	208	9740	21.36	"18.67-24.42"	2413	2334163	1.03	"0.99-1.08"
"65-74"	2019-07-01	197	9791	20.12	"17.52-23.1"	2402	2334409	1.03	"0.99-1.07"
"65-74"	2019-08-01	216	9913	21.79	"19.1-24.85"	2428	2336156	1.04	"1-1.08"
"65-74"	2019-09-01	224	9988	22.43	"19.7-25.52"	2392	2337454	1.02	"0.98-1.07"
"65-74"	2019-10-01	236	9994	23.61	"20.82-26.78"	2501	2337414	1.07	"1.03-1.11"
"65-74"	2019-11-01	264	10102	26.13	"23.2-29.43"	2592	2338082	1.11	"1.07-1.15"
"65-74"	2019-12-01	276	10081	27.38	"24.37-30.75"	2857	2338557	1.22	"1.18-1.27"
"65-74"	2020-01-01	271	10128	26.76	"23.79-30.08"	2865	2339989	1.22	"1.18-1.27"
"65-74"	2020-02-01	237	10208	23.22	"20.47-26.32"	2526	2340751	1.08	"1.04-1.12"
"65-74"	2020-03-01	276	10336	26.7	"23.77-29.99"	2738	2344130	1.17	"1.13-1.21"
"65-74"	2020-04-01	365	10379	35.17	"31.79-38.89"	2519	2345997	1.07	"1.03-1.12"
"65-74"	2020-05-01	206	10127	20.34	"17.77-23.28"	2327	2346419	0.99	"0.95-1.03"
"65-74"	2020-06-01	171	10018	17.07	"14.71-19.8"	2295	2348125	0.98	"0.94-1.02"
"65-74"	2020-07-01	187	10149	18.43	"15.99-21.23"	2266	2349584	0.96	"0.93-1"
"65-74"	2020-08-01	231	10365	22.29	"19.62-25.31"	2308	2352023	0.98	"0.94-1.02"
"65-74"	2020-09-01	191	10414	18.34	"15.94-21.1"	2315	2353747	0.98	"0.94-1.02"
"65-74"	2020-10-01	223	10456	21.33	"18.73-24.28"	2327	2355327	0.99	"0.95-1.03"
"65-74"	2020-11-01	188	10518	17.87	"15.51-20.59"	2147	2356827	0.91	"0.87-0.95"
"75-79"	2019-02-01	302	10074	29.98	"26.82-33.49"	1773	782184	2.27	"2.16-2.37"
"75-79"	2019-03-01	275	10078	27.29	"24.28-30.65"	1733	786565	2.2	"2.1-2.31"
"75-79"	2019-04-01	265	10133	26.15	"23.22-29.44"	1753	790537	2.22	"2.12-2.32"
"75-79"	2019-05-01	260	10184	25.53	"22.64-28.78"	1656	795127	2.08	"1.98-2.19"
"75-79"	2019-06-01	263	10313	25.5	"22.63-28.73"	1592	799512	1.99	"1.9-2.09"
